link	name	budget	domestic_total_gross	domestic_lifetime_gross	release_date	runtime	distributor	genre	rating	awards
http://www.boxofficemojo.com/movies/?id=horrorifc.htm	#Horror	N/A			20-Nov-15	1 hrs. 30 min.	IFC	Horror	Unknown	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=9dot99.htm	$9.99 	N/A	52384		12-Dec-08	1 hrs. 18 min.	Regent Releasing	Animation	R	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=supercapitalist.htm	$upercapitalist	N/A	15919		10-Aug-12	1 hrs. 36 min.	Truly Indie	Thriller	Unrated	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=71.htm	'71	N/A	1270847		27-Feb-15	1 hrs. 39 min.	Roadside Attractions	War Drama	R	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=nsyncimax.htm	'N Sync: Bigger Than Live (IMAX)	N/A	1808679		2-Feb-01	0 hrs. 47 min.	IMAX	IMAX	Unrated	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=neaththearizonaskies.htm	'Neath the Arizona Skies	N/A			5-Dec-34	0 hrs. 52 min.	Monogram Pictures Corporation	Western	Unrated	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=nightmother.htm	"'Night, Mother"	N/A	441863		12-Sep-86	1 hrs. 36 min.	Universal	Unknown	PG-13	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=rxmas.htm	'R Xmas	N/A	850		8-Nov-02	1 hrs. 23 min.	Pathfinder	Unknown	R	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=roundmidnight.htm	'Round Midnight	N/A	3272593		3-Oct-86	2 hrs. 13 min.	Warner Bros.	Unknown	R	"Nominated for Two Oscars, Including One Win."
http://www.boxofficemojo.com/movies/?id=tisautumn.htm	'Tis Autumn: The Search for Jackie Paris	N/A	1476		7-Dec-07	1 hrs. 40 min.	Outsider Films	Documentary	Unrated	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=500daysofsummer.htm	(500) Days of Summer	$7.5 million	32391374		17-Jul-09	1 hrs. 35 min.	Fox Searchlight	Romance	PG-13	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=untitled.htm	(Untitled)	N/A	230600		23-Oct-09	1 hrs. 36 min.	Samuel Goldwyn	Comedy	R	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=batteriesnotincluded.htm	* batteries not included	N/A	32945797		18-Dec-87	1 hrs. 46 min.	Universal	Sci-Fi Fantasy	PG	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=andjusticeforall.htm	...And Justice for All	N/A	33300000		19-Oct-79	1 hrs. 59 min.	Columbia	Drama	R	Nominated for Two Oscars.
http://www.boxofficemojo.com/movies/?id=1mileabove.htm	1 Mile Above	N/A			7-Jun-13	1 hrs. 27 min.	Asia Releasing	Foreign	Not Yet Rated	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=1plus1.htm	1+1=11	N/A	132498		28-Mar-03	N/A	Eros	Unknown	Unrated	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=1000rupeenote.htm	"1,000 Rupee Note"	N/A	2404		23-Sep-16	1 hrs. 29 min.	Kino Lorber	Drama	Unrated	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=1000times.htm	"1,000 Times Good Night"	N/A	53895		24-Oct-14	1 hrs. 57 min.	Film Movement	Foreign	Unrated	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=10.htm	10	N/A	74865517		5-Oct-79	2 hrs. 1 min.	Warner Bros.	Romantic Comedy	R	Nominated for Two Oscars.
http://www.boxofficemojo.com/movies/?id=badrobot2016.htm	10 Cloverfield Lane	N/A	72082998		11-Mar-16	1 hrs. 45 min.	Paramount	Thriller	PG-13	No Academy Awards Information
