,Distributor,Domestic Lifetime Gross,Domestic Total Gross,Genre,MPAA Rating,Production Budget,Release Date,Runtime,Awards,Link,Name
0,IFC,,,Horror,Unknown,N/A,"November 20, 2015",1 hrs. 30 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=horrorifc.htm,#Horror
1,Regent Releasing,,"$52,384",Animation,R,N/A,"December 12, 2008",1 hrs. 18 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=9dot99.htm,$9.99
2,Truly Indie,,"$15,919",Thriller,Unrated,N/A,"August 10, 2012",1 hrs. 36 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=supercapitalist.htm,$upercapitalist
3,Roadside Attractions,,"$1,270,847",War Drama,R,N/A,"February 27, 2015",1 hrs. 39 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=71.htm,'71
4,IMAX,,"$1,808,679",IMAX,Unrated,N/A,"February 2, 2001",0 hrs. 47 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=nsyncimax.htm,'N Sync: Bigger Than Live (IMAX)
5,Monogram Pictures Corporation,,,Western,Unrated,N/A,"December 5, 1934",0 hrs. 52 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=neaththearizonaskies.htm,'Neath the Arizona Skies
6,Universal,,"$441,863",Unknown,PG-13,N/A,"September 12, 1986",1 hrs. 36 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=nightmother.htm,"'Night, Mother"
7,Pathfinder,,$850,Unknown,R,N/A,"November 8, 2002",1 hrs. 23 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=rxmas.htm,'R Xmas
8,Warner Bros.,,"$3,272,593",Unknown,R,N/A,"October 3, 1986",2 hrs. 13 min.,"Nominated for Two Oscars, Including One Win.",http://www.boxofficemojo.com/movies/?id=roundmidnight.htm,'Round Midnight
9,Outsider Films,,"$1,476",Documentary,Unrated,N/A,"December 7, 2007",1 hrs. 40 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=tisautumn.htm,'Tis Autumn: The Search for Jackie Paris
10,Fox Searchlight,,"$32,391,374",Romance,PG-13,$7.5 million,"July 17, 2009",1 hrs. 35 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=500daysofsummer.htm,(500) Days of Summer
11,Samuel Goldwyn,,"$230,600",Comedy,R,N/A,"October 23, 2009",1 hrs. 36 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=untitled.htm,(Untitled)
12,Universal,,"$32,945,797",Sci-Fi Fantasy,PG,N/A,"December 18, 1987",1 hrs. 46 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=batteriesnotincluded.htm,* batteries not included
13,Columbia,,"$33,300,000",Drama,R,N/A,"October 19, 1979",1 hrs. 59 min.,Nominated for Two Oscars.,http://www.boxofficemojo.com/movies/?id=andjusticeforall.htm,...And Justice for All
14,Asia Releasing,,,Foreign,Not Yet Rated,N/A,"June 7, 2013",1 hrs. 27 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=1mileabove.htm,1 Mile Above
15,Eros,,"$132,498",Unknown,Unrated,N/A,"March 28, 2003",N/A,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=1plus1.htm,1+1=11
16,Kino Lorber,,"$2,404",Drama,Unrated,N/A,"September 23, 2016",1 hrs. 29 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=1000rupeenote.htm,"1,000 Rupee Note"
17,Film Movement,,"$53,895",Foreign,Unrated,N/A,"October 24, 2014",1 hrs. 57 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=1000times.htm,"1,000 Times Good Night"
18,Warner Bros.,,"$74,865,517",Romantic Comedy,R,N/A,"October 5, 1979",2 hrs. 1 min.,Nominated for Two Oscars.,http://www.boxofficemojo.com/movies/?id=10.htm,10
19,Paramount,,"$72,082,998",Thriller,PG-13,N/A,"March 11, 2016",1 hrs. 45 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=badrobot2016.htm,10 Cloverfield Lane
20,Cafe Pictures,,"$14,616",Drama,Unrated,N/A,"November 11, 2015",1 hrs. 51 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=10daysinamadhouse.htm,10 Days in a Madhouse
21,ThinkFilm,,"$83,291",Comedy,R,N/A,"December 1, 2006",1 hrs. 22 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=10itemsorless.htm,10 Items or Less
22,"Monterey Media, Inc.",,"$224,546",Documentary,Unrated,N/A,"April 27, 2007",1 hrs. 29 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=10questionsforthedalailama.htm,10 Questions for the Dalai Lama
23,Screen Media,,,Comedy,R,N/A,"April 4, 2014",1 hrs. 34 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=10rules.htm,10 Rules for Sleeping Around
24,Buena Vista,,"$38,178,166",Romantic Comedy,PG-13,$30 million,"March 31, 1999",1 hrs. 37 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=10thingsihateaboutyou.htm,10 Things I Hate About You
25,Anchor Bay Films,,"$203,373",Comedy / Drama,PG-13,N/A,"September 14, 2012",1 hrs. 40 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=10years.htm,10 Years
26,MGM,,"$7,175,592",Unknown,R,N/A,"March 11, 1983",1 hrs. 43 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=10tomidnight.htm,10 to Midnight
27,Warner Bros.,,"$94,784,201",Period Adventure,PG-13,$105 million,"March 7, 2008",1 hrs. 49 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=10000bc.htm,"10,000 B.C."
28,Broad Green Pictures,,"$12,423",Comedy / Drama,R,N/A,"July 10, 2015",1 hrs. 39 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=10000km.htm,"10,000 Km"
29,Doppelganger Releasing,,"$6,388",Horror Comedy,Unrated,N/A,"June 28, 2013",N/A,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=100bloodyacres.htm,100 Bloody Acres
30,Kino Lorber,,"$10,983",Drama,Unrated,N/A,"May 8, 2015",1 hrs. 33 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=1001grams.htm,1001 Grams
31,Disney,": $144,880,014","$14,000,000",Animation,G,N/A,"January 25, 1961",1 hrs. 19 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=101dalmations.htm,101 Dalmatians
32,Buena Vista,,"$136,189,294",Family Comedy,G,N/A,"November 27, 1996",1 hrs. 43 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=101dalmatiansliveaction.htm,101 Dalmatians (1996)
33,Disney,": $144,880,014","$18,000,000",Animation,G,N/A,"January 1, 1969",1 hrs. 19 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=101dalmatians69.htm,101 Dalmatians (Re-issue) (1969)
34,Disney,": $144,880,014","$19,000,000",Animation,G,N/A,"January 1, 1979",1 hrs. 19 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=101dalmatians79.htm,101 Dalmatians (Re-issue) (1979)
35,Buena Vista,": $144,880,014","$33,049,729",Animation,G,N/A,"December 20, 1985",1 hrs. 19 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=101dalmatians85.htm,101 Dalmatians (Re-issue) (1985)
36,Buena Vista,": $144,880,014","$60,830,285",Animation,G,N/A,"July 12, 1991",1 hrs. 19 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=101dalmatians91.htm,101 Dalmatians (Re-issue) (1991)
37,Menemsha,,"$126,404",Unknown,Unrated,N/A,"July 27, 2001",1 hrs. 40 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=101reykjavik.htm,101 Reykjavik
38,Buena Vista,,"$66,957,026",Family Comedy,G,$85 million,"November 22, 2000",1 hrs. 44 min.,Nominated for One Oscar.,http://www.boxofficemojo.com/movies/?id=102dalmatians.htm,102 Dalmatians
39,ThinkFilm,,"$54,702",Crime Drama,R,$8 million,"August 18, 2006",1 hrs. 50 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=10thandwolf.htm,10th &amp; Wolf
40,First Run,,"$9,213",Foreign,Unrated,N/A,"February 22, 2013",1 hrs. 50 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=11flowers.htm,11 Flowers
41,Rocket Releasing,,"$32,771",Horror,PG-13,N/A,"November 11, 2011",1 hrs. 22 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=111111.htm,11-11-11
42,Brainstorm Media,,,Drama,Unrated,N/A,"June 12, 2015",1 hrs. 37 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=11thhour15.htm,11th Hour
43,Sony Classics,,"$125,120",Foreign,PG-13,N/A,"March 4, 2009",2 hrs. 39 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=12.htm,12
44,United Artists,,,Drama,Unrated,N/A,"April 13, 1957",1 hrs. 36 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=12angrymen.htm,12 Angry Men
45,Universal,,"$57,141,459",Sci-Fi,R,N/A,"December 29, 1995",2 hrs. 10 min.,Nominated for Two Oscars.,http://www.boxofficemojo.com/movies/?id=twelvemonkeys.htm,12 Monkeys
46,Oscilloscope Pictures,,"$82,614",Documentary,Unrated,N/A,"January 31, 2014",1 hrs. 16 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=12oclockboys.htm,12 O'Clock Boys
47,Fox,,"$12,234,694",Action / Adventure,PG-13,N/A,"March 27, 2009",1 hrs. 48 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=12rounds.htm,12 Rounds
48,Fox Searchlight,,"$56,671,993",Drama,R,$20 million,"October 18, 2013",2 hrs. 13 min.,"Nominated for Nine Oscars, Including Three Wins.",http://www.boxofficemojo.com/movies/?id=twelveyearsaslave.htm,12 Years a Slave
49,Weinstein Company,,,Concert,R,N/A,"November 15, 2013",1 hrs. 45 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=121212.htm,12-12-12
50,Fox Searchlight,,"$18,335,230",Drama,R,$18 million,"November 5, 2010",1 hrs. 33 min.,Nominated for Six Oscars.,http://www.boxofficemojo.com/movies/?id=127hours.htm,127 Hours
51,Tartan,,"$91,881",Foreign,Unrated,N/A,"June 6, 2007",1 hrs. 29 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=1208eastofbucharest.htm,12:08 East of Bucharest
52,Magnolia,,"$802,778",Foreign,R,N/A,"April 29, 2011",2 hrs. 6 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=13assassins.htm,13 Assassins
53,Sony Classics,,"$3,288,164",Drama,R,N/A,"May 24, 2002",1 hrs. 34 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=13conversationsaboutonething.htm,13 Conversations About One Thing
54,Sony (Revolution),,"$57,231,747",Fantasy Comedy,PG-13,$37 million,"April 23, 2004",1 hrs. 37 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=13goingon30.htm,13 Going on 30
55,Paramount,,"$52,853,219",Drama,R,$50 million,"January 15, 2016",2 hrs. 24 min.,Nominated for One Oscar.,http://www.boxofficemojo.com/movies/?id=13hoursthesecretsoldiersofbenghazi.htm,13 Hours: The Secret Soldiers of Benghazi
56,Sony Classics,,,Drama,R,N/A,"June 30, 2017",1 hrs. 54 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=13minutes.htm,13 Minutes
57,Unknown,,"$2,337",Drama,Unrated,N/A,"June 6, 2008",1 hrs. 38 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=13monthsofsunshine.htm,13 Months of Sunshine
58,Radius-TWC,,"$13,809",Thriller,R,N/A,"April 18, 2014",1 hrs. 32 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=13sins.htm,13 Sins
59,Palm,,"$121,390",Foreign,Unrated,N/A,"July 28, 2006",1 hrs. 26 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=13tzameti.htm,13 Tzameti
60,AdLabs,": $49,043","$12,449",Foreign,Unrated,N/A,"March 6, 2009",2 hrs. 26 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=13b.htm,13B
61,Radius-TWC,,,Foreign / Action,R,N/A,"August 22, 2014",1 hrs. 56 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=14blades.htm,14 Blades
62,MGM (Weinstein),,"$71,985,628",Horror,PG-13,$25 million,"June 22, 2007",1 hrs. 34 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=1408.htm,1408
63,Paramount,,"$7,191,399",Historical Drama,PG-13,$47 million,"October 9, 1992",2 hrs. 28 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=1492.htm,1492: Conquest of Paradise
64,Picture This!,,"$3,013",Foreign,Unrated,N/A,"April 13, 2005",1 hrs. 33 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=15.htm,15
65,Chris.,,"$248,093",Unknown,Unrated,N/A,"January 26, 2001",1 hrs. 54 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=15fevrier1839.htm,15 Fevrier 1839
66,New Line,,"$24,403,552",Thriller,R,$60 million,"March 9, 2001",2 hrs. 0 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=15minutes.htm,15 Minutes
67,Warner Bros.,,"$36,895,141",Action Thriller,PG-13,N/A,"March 3, 2006",1 hrs. 45 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=16blocks.htm,16 Blocks
68,Paramount,,"$83,857",Documentary,G,N/A,"March 7, 1986",2 hrs. 25 min.,No Academy Awards Information,http://www.boxofficemojo.com/movies/?id=16daysofglory.htm,16 Days of Glory
