link	name	actor	assoc_producer	cinematographer	composer	director	exec_producer	line_producer	players	producer	writer
http://www.boxofficemojo.com/movies/?id=horrorifc.htm	#Horror	"['Balthazar Getty', 'Timothy Hutton', 'Natasha Lyonne', 'Taryn Manning', 'Chloe Sevigny']"									
http://www.boxofficemojo.com/movies/?id=9dot99.htm	$9.99 								No Player Information		
http://www.boxofficemojo.com/movies/?id=supercapitalist.htm	$upercapitalist								No Player Information		
http://www.boxofficemojo.com/movies/?id=71.htm	'71	"[""Jack O'Connell""]"									
http://www.boxofficemojo.com/movies/?id=nsyncimax.htm	'N Sync: Bigger Than Live (IMAX)								No Player Information		
http://www.boxofficemojo.com/movies/?id=neaththearizonaskies.htm	'Neath the Arizona Skies	"['John Wayne', 'Sheila Terry', 'Shirley Jean Rickert', 'Jack Rockwell', 'Yakima Canutt', 'Harry L. Fraser']"		['Archie Stout']		['Harry L. Fraser']				['Paul Malvern']	['Burl R. Tuttle']
http://www.boxofficemojo.com/movies/?id=nightmother.htm	"'Night, Mother"	"['Sissy Spacek', 'Anne Bancroft']"									
http://www.boxofficemojo.com/movies/?id=rxmas.htm	'R Xmas								No Player Information		
http://www.boxofficemojo.com/movies/?id=roundmidnight.htm	'Round Midnight									['Irwin Winkler']	
http://www.boxofficemojo.com/movies/?id=tisautumn.htm	'Tis Autumn: The Search for Jackie Paris								No Player Information		
http://www.boxofficemojo.com/movies/?id=500daysofsummer.htm	(500) Days of Summer	"['Zooey Deschanel', 'Geoffrey Arend', 'Chloe Moretz', 'Clark Gregg', 'Minka Kelly*']"			"['Mychael Danna', 'Rob Simonsen']"	['Marc Webb']				"['Mason Novick', 'Mark S. Waters']"	"['Scott Neustadter', 'Michael H. Weber']"
http://www.boxofficemojo.com/movies/?id=untitled.htm	(Untitled)	"['Adam Goldberg', 'Marley Shelton']"									
http://www.boxofficemojo.com/movies/?id=batteriesnotincluded.htm	* batteries not included				['James Horner']					"['Kathleen Kennedy', 'Frank Marshall', 'Steven Spielberg']"	['Brad Bird']
http://www.boxofficemojo.com/movies/?id=andjusticeforall.htm	...And Justice for All	"['Craig T. Nelson*', 'Al Pacino']"									['Barry Levinson']
http://www.boxofficemojo.com/movies/?id=1mileabove.htm	1 Mile Above								No Player Information		
http://www.boxofficemojo.com/movies/?id=1plus1.htm	1+1=11								No Player Information		
http://www.boxofficemojo.com/movies/?id=1000rupeenote.htm	"1,000 Rupee Note"								No Player Information		
http://www.boxofficemojo.com/movies/?id=1000times.htm	"1,000 Times Good Night"	['Juliette Binoche']									
http://www.boxofficemojo.com/movies/?id=10.htm	10	['Julie Andrews']									
http://www.boxofficemojo.com/movies/?id=badrobot2016.htm	10 Cloverfield Lane	"['Mary Elizabeth Winstead', 'John Goodman', 'John Gallagher Jr.']"				['Dan Trachtenberg']				['J.J. Abrams']	['Damien Chazelle']
http://www.boxofficemojo.com/movies/?id=10daysinamadhouse.htm	10 Days in a Madhouse								No Player Information		
http://www.boxofficemojo.com/movies/?id=10itemsorless.htm	10 Items or Less	"['Morgan Freeman', 'Paz Vega', 'Jonah Hill']"				['Brad Silberling']					
http://www.boxofficemojo.com/movies/?id=10questionsforthedalailama.htm	10 Questions for the Dalai Lama								No Player Information		
http://www.boxofficemojo.com/movies/?id=10rules.htm	10 Rules for Sleeping Around	"['Jesse Bradford', 'Chris Marquette']"									
http://www.boxofficemojo.com/movies/?id=10thingsihateaboutyou.htm	10 Things I Hate About You	"['Julia Stiles', 'Heath Ledger']"								"['Jeffrey Chernov', 'Andrew Lazar']"	"['Karen McCullah Lutz', 'Kirsten Smith']"
