title,key_bom,year_bom,year_bom_format
#horror,b0,"November 20, 2015",2015
$9.99,b1,"December 12, 2008",2008
$upercapitalist,b2,"August 10, 2012",2012
'71,b3,"February 27, 2015",2015
'n sync: bigger than live (imax),b4,"February 2, 2001",2001
'neath the arizona skies,b5,"December 5, 1934",1934
"'night, mother",b6,"September 12, 1986",1986
'r xmas,b7,"November 8, 2002",2002
'round midnight,b8,"October 3, 1986",1986
'tis autumn: the search for jackie paris,b9,"December 7, 2007",2007
(500) days of summer,b10,"July 17, 2009",2009
(untitled),b11,"October 23, 2009",2009
* batteries not included,b12,"December 18, 1987",1987
...and justice for all,b13,"October 19, 1979",1979
1 mile above,b14,"June 7, 2013",2013
1+1=11,b15,"March 28, 2003",2003
"1,000 rupee note",b16,"September 23, 2016",2016
"1,000 times good night",b17,"October 24, 2014",2014
10,b18,"October 5, 1979",1979
10 cloverfield lane,b19,"March 11, 2016",2016
10 days in a madhouse,b20,"November 11, 2015",2015
10 items or less,b21,"December 1, 2006",2006
10 questions for the dalai lama,b22,"April 27, 2007",2007
10 rules for sleeping around,b23,"April 4, 2014",2014
10 things i hate about you,b24,"March 31, 1999",1999
10 years,b25,"September 14, 2012",2012
10 to midnight,b26,"March 11, 1983",1983
"10,000 b.c.",b27,"March 7, 2008",2008
"10,000 km",b28,"July 10, 2015",2015
100 bloody acres,b29,"June 28, 2013",2013
1001 grams,b30,"May 8, 2015",2015
101 dalmatians,b31,"January 25, 1961",1961
101 dalmatians (1996),b32,"November 27, 1996",1996
101 dalmatians (re-issue) (1969),b33,"January 1, 1969",1969
101 dalmatians (re-issue) (1979),b34,"January 1, 1979",1979
101 dalmatians (re-issue) (1985),b35,"December 20, 1985",1985
101 dalmatians (re-issue) (1991),b36,"July 12, 1991",1991
101 reykjavik,b37,"July 27, 2001",2001
102 dalmatians,b38,"November 22, 2000",2000
10th &amp; wolf,b39,"August 18, 2006",2006
11 flowers,b40,"February 22, 2013",2013
11-11-11,b41,"November 11, 2011",2011
11th hour,b42,"June 12, 2015",2015
12,b43,"March 4, 2009",2009
12 angry men,b44,"April 13, 1957",1957
12 monkeys,b45,"December 29, 1995",1995
12 o'clock boys,b46,"January 31, 2014",2014
12 rounds,b47,"March 27, 2009",2009
12 years a slave,b48,"October 18, 2013",2013
12-12-12,b49,"November 15, 2013",2013
127 hours,b50,"November 5, 2010",2010
12:08 east of bucharest,b51,"June 6, 2007",2007
13 assassins,b52,"April 29, 2011",2011
13 conversations about one thing,b53,"May 24, 2002",2002
13 going on 30,b54,"April 23, 2004",2004
13 hours: the secret soldiers of benghazi,b55,"January 15, 2016",2016
13 minutes,b56,"June 30, 2017",2017
13 months of sunshine,b57,"June 6, 2008",2008
13 sins,b58,"April 18, 2014",2014
13 tzameti,b59,"July 28, 2006",2006
13b,b60,"March 6, 2009",2009
14 blades,b61,"August 22, 2014",2014
1408,b62,"June 22, 2007",2007
1492: conquest of paradise,b63,"October 9, 1992",1992
15,b64,"April 13, 2005",2005
15 fevrier 1839,b65,"January 26, 2001",2001
15 minutes,b66,"March 9, 2001",2001
16 blocks,b67,"March 3, 2006",2006
16 days of glory,b68,"March 7, 1986",1986
16 years of alcohol,b69,"March 15, 2005",2005
17 again,b70,"April 17, 2009",2009
17 girls,b71,"September 21, 2012",2012
18 again,b72,"April 8, 1988",1988
18 ans apres,b73,"May 2, 2003",2003
180 south,b74,"May 21, 2010",2010
187,b75,"July 30, 1997",1997
1900,b76,"October 7, 1977",1977
1911,b77,"October 7, 2011",2011
1915,b78,"April 17, 2015",2015
1920 london,b79,"May 6, 2016",2016
1941,b80,"December 14, 1979",1979
1969,b81,"November 18, 1988",1988
1984,b82,"December 14, 1984",1984
1995 bugs bunny film festival,b83,"May 5, 1995",1995
1998 bugs bunny film festival,b84,"February 13, 1998",1998
"2 autumns, 3 winters",b85,"June 6, 2014",2014
2 days in new york,b86,"August 10, 2012",2012
2 days in paris,b87,"August 10, 2007",2007
2 days in the valley,b88,"September 27, 1996",1996
2 fast 2 furious,b89,"June 6, 2003",2003
2 guns,b90,"August 2, 2013",2013
2 jacks,b91,"October 18, 2013",2013
2 states,b92,"April 18, 2014",2014
20 centimeters,b93,"October 27, 2006",2006
20 dates,b94,"February 26, 1999",1999
20 feet from stardom,b95,"June 14, 2013",2013
20 million miles to earth,b96,June 1957,0
20 once again,b97,"January 16, 2015",2015
"20,000 days on earth",b98,"September 17, 2014",2014
200 cartas,b99,"June 14, 2013",2013
200 cigarettes,b100,"February 26, 1999",1999
2001: a space odyssey,b101,"April 3, 1968",1968
2001: a space odyssey (2013 re-release),b102,"January 2, 2013",2013
2001: a space odyssey (re-issue),b103,"October 5, 2001",2001
2005 academy award nominated short films,b104,"February 24, 2006",2006
2007 academy award nominated short films,b105,"February 15, 2008",2008
2009 oscar shorts,b106,"February 6, 2009",2009
2010,b107,"December 7, 1984",1984
2010 oscar shorts,b108,"February 19, 2010",2010
2011 oscar shorts,b109,"February 11, 2011",2011
2012,b110,"November 13, 2009",2009
2012 oscar nominated short films,b111,"February 10, 2012",2012
2012: time for change,b112,"April 9, 2010",2010
2013 oscar nominated short films,b113,"February 1, 2013",2013
2014 oscar nominated short films,b114,"January 31, 2014",2014
2015 oscar nominated short films,b115,"January 30, 2015",2015
2016 obama's america,b116,"July 13, 2012",2012
2016 oscar nominated short films,b117,"January 29, 2016",2016
2017 cloverfield movie,b118,"October 27, 2017",2017
2046,b119,"August 5, 2005",2005
20th century women,b120,"December 28, 2016",2016
21,b121,"March 28, 2008",2008
21 grams,b122,"November 21, 2003",2003
21 jump street,b123,"March 16, 2012",2012
21 and over,b124,"March 1, 2013",2013
22 bullets,b125,January 2013,0
22 jump street,b126,"June 13, 2014",2014
23 blast,b127,"October 24, 2014",2014
24 (2016),b128,TBD,0
24 city,b129,"June 5, 2009",2009
24 hour party people,b130,"August 9, 2002",2002
25th hour,b131,"December 19, 2002",2002
27 dresses,b132,"January 18, 2008",2008
28 days,b133,"April 14, 2000",2000
28 days later,b134,"June 27, 2003",2003
28 days later (secret cinema),b135,TBD,0
28 hotel rooms,b136,"November 9, 2012",2012
28 weeks later,b137,"May 11, 2007",2007
29th street,b138,"November 1, 1991",1991
2by4,b139,"November 26, 1999",1999
3 (2011),b140,"September 16, 2011",2011
"3 1/2 minutes, 10 bullets",b141,"June 19, 2015",2015
3 backyards,b142,"March 11, 2011",2011
3 days to kill,b143,"February 21, 2014",2014
3 geezers!,b144,"May 22, 2013",2013
3 godfathers,b145,"December 1, 1948",1948
3 hearts,b146,"March 13, 2015",2015
3 idiots,b147,"December 23, 2009",2009
3 needles,b148,"December 1, 2006",2006
3 nights in the desert,b149,"February 6, 2015",2015
3 ninjas,b150,"August 7, 1992",1992
3 ninjas kick back,b151,"May 6, 1994",1994
3 ninjas knuckle up,b152,"March 10, 1995",1995
3 ninjas: high noon at mega mountain,b153,"April 10, 1998",1998
3 strikes,b154,"March 1, 2000",2000
3 weeks in yerevan,b155,"September 16, 2016",2016
"3,2,1... frankie go boom",b156,"October 12, 2012",2012
3-iron,b157,"April 29, 2005",2005
30 beats,b158,"July 20, 2012",2012
30 days of night,b159,"October 19, 2007",2007
30 minutes or less,b160,"August 12, 2011",2011
30 years to life,b161,"June 7, 2002",2002
300,b162,"March 9, 2007",2007
3000 miles to graceland,b163,"February 23, 2001",2001
300: rise of an empire,b164,"March 7, 2014",2014
31,b165,"August 26, 2016",2016
35 shots of rum,b166,"September 16, 2009",2009
35 up,b167,"January 15, 1992",1992
35 and ticking,b168,"May 20, 2011",2011
36 hours,b169,"January 28, 1965",1965
36 saints,b170,"September 6, 2013",2013
360,b171,"August 3, 2012",2012
39 pounds of love,b172,"November 23, 2005",2005
