,Actor,Assoc Producer,Cinematographer,Composer,Director,Exec Producer,Line Producer,Players,Producer,Writer,Link,Name
0,"['Balthazar Getty', 'Timothy Hutton', 'Natasha Lyonne', 'Taryn Manning', 'Chloe Sevigny']",,,,,,,,,,http://www.boxofficemojo.com/movies/?id=horrorifc.htm,#Horror
1,,,,,,,,No Player Information,,,http://www.boxofficemojo.com/movies/?id=9dot99.htm,$9.99
2,,,,,,,,No Player Information,,,http://www.boxofficemojo.com/movies/?id=supercapitalist.htm,$upercapitalist
3,"[""Jack O'Connell""]",,,,,,,,,,http://www.boxofficemojo.com/movies/?id=71.htm,'71
4,,,,,,,,No Player Information,,,http://www.boxofficemojo.com/movies/?id=nsyncimax.htm,'N Sync: Bigger Than Live (IMAX)
5,"['John Wayne', 'Sheila Terry', 'Shirley Jean Rickert', 'Jack Rockwell', 'Yakima Canutt', 'Harry L. Fraser']",,['Archie Stout'],,['Harry L. Fraser'],,,,['Paul Malvern'],['Burl R. Tuttle'],http://www.boxofficemojo.com/movies/?id=neaththearizonaskies.htm,'Neath the Arizona Skies
6,"['Sissy Spacek', 'Anne Bancroft']",,,,,,,,,,http://www.boxofficemojo.com/movies/?id=nightmother.htm,"'Night, Mother"
7,,,,,,,,No Player Information,,,http://www.boxofficemojo.com/movies/?id=rxmas.htm,'R Xmas
8,,,,,,,,,['Irwin Winkler'],,http://www.boxofficemojo.com/movies/?id=roundmidnight.htm,'Round Midnight
9,,,,,,,,No Player Information,,,http://www.boxofficemojo.com/movies/?id=tisautumn.htm,'Tis Autumn: The Search for Jackie Paris
10,"['Zooey Deschanel', 'Geoffrey Arend', 'Chloe Moretz', 'Clark Gregg', 'Minka Kelly*']",,,"['Mychael Danna', 'Rob Simonsen']",['Marc Webb'],,,,"['Mason Novick', 'Mark S. Waters']","['Scott Neustadter', 'Michael H. Weber']",http://www.boxofficemojo.com/movies/?id=500daysofsummer.htm,(500) Days of Summer
11,"['Adam Goldberg', 'Marley Shelton']",,,,,,,,,,http://www.boxofficemojo.com/movies/?id=untitled.htm,(Untitled)
12,,,,['James Horner'],,,,,"['Kathleen Kennedy', 'Frank Marshall', 'Steven Spielberg']",['Brad Bird'],http://www.boxofficemojo.com/movies/?id=batteriesnotincluded.htm,* batteries not included
13,"['Craig T. Nelson*', 'Al Pacino']",,,,,,,,,['Barry Levinson'],http://www.boxofficemojo.com/movies/?id=andjusticeforall.htm,...And Justice for All
14,,,,,,,,No Player Information,,,http://www.boxofficemojo.com/movies/?id=1mileabove.htm,1 Mile Above
15,,,,,,,,No Player Information,,,http://www.boxofficemojo.com/movies/?id=1plus1.htm,1+1=11
16,,,,,,,,No Player Information,,,http://www.boxofficemojo.com/movies/?id=1000rupeenote.htm,"1,000 Rupee Note"
17,['Juliette Binoche'],,,,,,,,,,http://www.boxofficemojo.com/movies/?id=1000times.htm,"1,000 Times Good Night"
18,['Julie Andrews'],,,,,,,,,,http://www.boxofficemojo.com/movies/?id=10.htm,10
19,"['Mary Elizabeth Winstead', 'John Goodman', 'John Gallagher Jr.']",,,,['Dan Trachtenberg'],,,,['J.J. Abrams'],['Damien Chazelle'],http://www.boxofficemojo.com/movies/?id=badrobot2016.htm,10 Cloverfield Lane
20,,,,,,,,No Player Information,,,http://www.boxofficemojo.com/movies/?id=10daysinamadhouse.htm,10 Days in a Madhouse
21,"['Morgan Freeman', 'Paz Vega', 'Jonah Hill']",,,,['Brad Silberling'],,,,,,http://www.boxofficemojo.com/movies/?id=10itemsorless.htm,10 Items or Less
22,,,,,,,,No Player Information,,,http://www.boxofficemojo.com/movies/?id=10questionsforthedalailama.htm,10 Questions for the Dalai Lama
23,"['Jesse Bradford', 'Chris Marquette']",,,,,,,,,,http://www.boxofficemojo.com/movies/?id=10rules.htm,10 Rules for Sleeping Around
24,"['Julia Stiles', 'Heath Ledger']",,,,,,,,"['Jeffrey Chernov', 'Andrew Lazar']","['Karen McCullah Lutz', 'Kirsten Smith']",http://www.boxofficemojo.com/movies/?id=10thingsihateaboutyou.htm,10 Things I Hate About You
25,"['Channing Tatum', 'Chris Pratt', 'Ari Graynor', 'Lynn Collins', 'Kate Mara', 'Rosario Dawson', 'Justin Long', 'Aubrey Plaza', 'Anthony Mackie', 'Oscar Isaac', 'Max Minghella', 'Ron Livingston']",,,['Chad Fischer'],['Jamie Linden'],,,,['Marty Bowen'],['Jamie Linden'],http://www.boxofficemojo.com/movies/?id=10years.htm,10 Years
26,,,,,,,,No Player Information,,,http://www.boxofficemojo.com/movies/?id=10tomidnight.htm,10 to Midnight
27,"['Steven Strait', 'Camilla Belle']",,,"['Harald Kloser', 'Thomas Wander']",['Roland Emmerich'],,,,"['Mark Gordon', 'Harald Kloser', 'Scott Mednick', 'Thomas Tull']","['Roland Emmerich', 'Harald Kloser']",http://www.boxofficemojo.com/movies/?id=10000bc.htm,"10,000 B.C."
