key_bom,key_wiki,key_omdb,title,year,budget,gross,revenue,release_date
b27,w123,,"""""""10,000 bc """"""",2008,105000000.0,269800000.0,1.5695238095238095,7-Mar-08
b38,w299,o10558,102 dalmatians,2000,85000000.0,183600000.0,1.16,22-Nov-00
b48,w147,,12 years a slave ,2013,17100000.0,187700000.0,9.976608187134502,18-Oct-13
b50,w302,o7878,127 hours,yes,18000000.0,60700000.0,2.3722222222222222,5-Nov-10
b55,w160,,13 hours: the secret soldiers of benghazi,2016,50000000.0,70000000.0,0.4,15-Jan-16
b62,w338,,1408,2007,25000000.0,132000000.0,4.28,22-Jun-07
b63,w339,o7430,1492: conquest of paradise,8-Oct,47000000.0,7191399.0,-0.8469915106382979,9-Oct-92
b66,w177,o19945,15 minutes,2001,42000000.0,56300000.0,0.3404761904761905,9-Mar-01
b100,w306,o2008,200 cigarettes,1999,6000000.0,6852450.0,0.142075,26-Feb-99
b110,w353,,2012,2009,200000000.0,769700000.0,2.8485,13-Nov-09
b126,w201,o9866,22 jump street,2014,84500000.0,331300000.0,2.920710059171597,13-Jun-14
b131,w213,o16175,25th hour,2002,5000000.0,23900000.0,3.78,19-Dec-02
b132,w215,o16433,27 dresses,2008,30000000.0,160300000.0,4.343333333333334,18-Jan-08
b143,w24,o9867,3 days to kill,yes,28000000.0,52600000.0,0.8785714285714286,21-Feb-14
b154,w39,,3 strikes ,2000,3400000.0,9800000.0,1.8823529411764703,1-Mar-00
b160,w230,o2413,30 minutes or less,2011,28000000.0,40500000.0,0.44642857142857145,12-Aug-11
b179,w251,,42,2013,40000000.0,97500000.0,1.4375,12-Apr-13
b194,w262,o21932,50 first dates,2004,75000000.0,196500000.0,1.62,13-Feb-04
b220,w95,,8 mile ,2002,41000000.0,242900000.0,4.9243902439024385,8-Nov-02
b228,w99,,8mm ,1999,40000000.0,96600000.0,1.415,26-Feb-99
b233,w280,,90 minutes in heaven ,2015,5000000.0,4800000.0,-0.04,11-Sep-15
b236,w284,o9874,99 homes,2014,8000000.0,1900000.0,-0.7625,25-Sep-15
b243,w3195,,a beautiful mind ,2001,58000000.0,313000000.0,4.396551724137931,21-Dec-01
b246,w3588,o2420,a better life,2011,10000000.0,1759252.0,-0.8240748,24-Jun-11
b262,w5704,o13472,a bug's life,1998,120000000.0,363300000.0,2.0275,20-Nov-98
b273,w7218,,a christmas carol (2009 film),2009,175000000.0,325300000.0,0.8588571428571429,6-Nov-09
b277,w7329,o21934,a cinderella story,2004,19000000.0,70100000.0,2.6894736842105265,16-Jul-04
b278,w7449,,a civil action ,1998,75000000.0,56709981.0,-0.24386692,25-Dec-98
b285,w8796,o5308,a cure for wellness,2016,40000000.0,26300000.0,-0.3425,17-Feb-17
b297,w10592,,a dog's purpose ,2017,22000000.0,181200000.0,7.236363636363636,27-Jan-17
b306,w12766,o7432,a few good men,1992,3340000000.0,243200000.0,-0.927185628742515,11-Dec-92
b330,w15353,o963,a good day to die hard,2013,92000000.0,304700000.0,2.3119565217391305,14-Feb-13
b339,w16065,o9614,a guy thing,2003,20000000.0,17432163.0,-0.12839185,17-Jan-03
b344,w16515,o964,a haunted house,2013,2500000.0,60100000.0,23.04,11-Jan-13
b347,w17495,o18155,a history of violence,2005,32000000.0,60700000.0,0.896875,23-Sep-05
b361,w21073,o19954,a knight's tale,2001,65000000.0,117500000.0,0.8076923076923077,11-May-01
b368,w21761,o7434,a league of their own,1992,40000000.0,132440069.0,2.311001725,1-Jul-92
b384,w22967,o18157,a lot like love,2005,30000000.0,42800000.0,0.4266666666666667,22-Apr-05
b387,w23822,o9616,a man apart,2003,36000000.0,44350926.0,0.2319701666666667,4-Apr-03
b403,w25059,,a midsummer night's dream (1999 film),1999,11000000.0,16071990.0,0.46108999999999994,14-May-99
b406,w25069,,a mighty heart ,2007,16000000.0,18935657.0,0.1834785625,22-Jun-07
b408,w25157,o9882,a million ways to die in the west,2014,40000000.0,87200000.0,1.18,30-May-14
b415,w25760,o9883,a most violent year,2014,20000000.0,12000000.0,-0.4,31-Dec-14
b423,w27221,,a nightmare on elm street (2010 film),2010,35000000.0,115600000.0,2.302857142857143,30-Apr-10
b433,w29204,o18543,a perfect getaway,2009,14000000.0,22852638.0,0.6323312857142858,7-Aug-09
b479,w34385,,a simple plan ,1998,17000000.0,16300000.0,-0.041176470588235294,11-Dec-98
b483,w34462,o18545,a single man,2009,7000000.0,25000000.0,2.571428571428572,11-Dec-09
b494,w35414,,a sound of thunder ,2005,80000000.0,11700000.0,-0.85375,2-Sep-05
b496,w35957,,a star is born (1954 film),1954,5019770.0,6100000.0,0.2151951185014453,29-Sep-54
b516,w38209,,a thousand words ,2012,40000000.0,22000000.0,-0.45,9-Mar-12
b529,w40475,o5061,a very brady sequel,1996,15000000.0,21440752.0,0.42938346666666666,23-Aug-96
b530,w40479,o2426,a very harold & kumar 3d christmas,2011,19000000.0,35400000.0,0.8631578947368421,4-Nov-11
b534,w40803,,a walk among the tombstones ,2014,28000000.0,62100000.0,1.2178571428571427,19-Sep-14
b539,w40825,o16181,a walk to remember,2002,11800000.0,47494916.0,3.0249928813559324,25-Jan-02
b554,w391,o19956,a.i. artificial intelligence,2001,100000000.0,235900000.0,1.359,29-Jun-01
b567,w403,,abandon ,2002,25000000.0,12300000.0,-0.508,18-Oct-02
b579,w446,,about last night (2014 film),2014,12500000.0,49000000.0,2.92,14-Feb-14
b599,w483,o20196,accepted,2006,23000000.0,38500000.0,0.6739130434782609,18-Aug-06
b602,w518,o2248,ace ventura: pet detective,1994,15000000.0,107200000.0,6.1466666666666665,4-Feb-94
b626,w607,,admission ,2013,13000000.0,18637201.0,0.4336308461538462,22-Mar-13
b657,w776,o975,after earth,2013,130.0,243800000.0,1875383.6153846157,31-May-13
b669,w802,o21944,after the sunset,2004,59000000.0,61347797.0,0.03979316949152542,12-Nov-04
