key_bom,key_wiki,key_omdb,bom_title,wiki_title,omdb_title,year_bom_format,year_wiki_format,year_omdb_format,wiki_budget,wiki_gross,bom_budget,bom_domestic_gross,bom_worldwide_revenue,budget,gross
b27,w123,,"""10,000 b.c.""","""10,000 bc """,,2008.0,2008,,105000000.0,269800000.0,105000000.0,94784201.0,105000000.0,105000000.0,105000000.0
b38,w299,o10558,102 dalmatians,102 dalmatians,102 dalmatians,2000.0,2000,2000.0,85000000.0,183600000.0,85000000.0,66957026.0,85000000.0,85000000.0,85000000.0
b48,w147,,12 years a slave,12 years a slave ,,2013.0,2013,,17100000.0,187700000.0,20000000.0,56671993.0,20000000.0,20000000.0,20000000.0
b50,w302,o7878,127 hours,127 hours,127 hours,2010.0,yes,2010.0,18000000.0,60700000.0,18000000.0,18335230.0,18000000.0,18000000.0,18000000.0
b55,w160,,13 hours: the secret soldiers of benghazi,13 hours: the secret soldiers of benghazi,,2016.0,2016,,50000000.0,70000000.0,50000000.0,52853219.0,50000000.0,50000000.0,50000000.0
b62,w338,,1408,1408,,2007.0,2007,,25000000.0,132000000.0,25000000.0,71985628.0,25000000.0,25000000.0,25000000.0
b63,w339,o7430,1492: conquest of paradise,1492: conquest of paradise,1492: conquest of paradise,1992.0,8-Oct,1992.0,47000000.0,7191399.0,47000000.0,7191399.0,47000000.0,47000000.0,47000000.0
b66,w177,o19945,15 minutes,15 minutes,15 minutes,2001.0,2001,2001.0,42000000.0,56300000.0,60000000.0,24403552.0,60000000.0,60000000.0,60000000.0
b100,w306,o2008,200 cigarettes,200 cigarettes,200 cigarettes,1999.0,1999,1999.0,6000000.0,6852450.0,6000000.0,6852450.0,6000000.0,6000000.0,6000000.0
b110,w353,,2012,2012,,2009.0,2009,,200000000.0,769700000.0,200000000.0,166112167.0,200000000.0,200000000.0,200000000.0
b126,w201,o9866,22 jump street,22 jump street,22 jump street,2014.0,2014,2014.0,84500000.0,331300000.0,50000000.0,191719337.0,50000000.0,50000000.0,50000000.0
b131,w213,o16175,25th hour,25th hour,25th hour,2002.0,2002,2002.0,5000000.0,23900000.0,5000000.0,13084595.0,5000000.0,5000000.0,5000000.0
b132,w215,o16433,27 dresses,27 dresses,27 dresses,2008.0,2008,2008.0,30000000.0,160300000.0,30000000.0,76808654.0,30000000.0,30000000.0,30000000.0
b143,w24,o9867,3 days to kill,3 days to kill,3 days to kill,2014.0,yes,2014.0,28000000.0,52600000.0,28000000.0,30697999.0,28000000.0,28000000.0,28000000.0
b154,w39,,3 strikes,3 strikes ,,2000.0,2000,,3400000.0,9800000.0,3400000.0,9832166.0,3400000.0,3400000.0,3400000.0
b160,w230,o2413,30 minutes or less,30 minutes or less,30 minutes or less,2011.0,2011,2011.0,28000000.0,40500000.0,28000000.0,37053924.0,28000000.0,28000000.0,28000000.0
b179,w251,,42,42,,2013.0,2013,,40000000.0,97500000.0,40000000.0,95020213.0,40000000.0,40000000.0,40000000.0
b194,w262,o21932,50 first dates,50 first dates,50 first dates,2004.0,2004,2004.0,75000000.0,196500000.0,75000000.0,120908074.0,75000000.0,75000000.0,75000000.0
b220,w95,,8 mile,8 mile ,,2002.0,2002,,41000000.0,242900000.0,41000000.0,116750901.0,41000000.0,41000000.0,41000000.0
b228,w99,,8mm,8mm ,,1999.0,1999,,40000000.0,96600000.0,40000000.0,36663315.0,40000000.0,40000000.0,40000000.0
b233,w280,,90 minutes in heaven,90 minutes in heaven ,,2015.0,2015,,5000000.0,4800000.0,5000000.0,4842699.0,5000000.0,5000000.0,5000000.0
b236,w284,o9874,99 homes,99 homes,99 homes,2015.0,2014,2014.0,8000000.0,1900000.0,8000000.0,1411927.0,8000000.0,8000000.0,8000000.0
b243,w3195,,a beautiful mind,a beautiful mind ,,2001.0,2001,,58000000.0,313000000.0,58000000.0,170742341.0,58000000.0,58000000.0,58000000.0
b246,w3588,o2420,a better life,a better life,a better life,2011.0,2011,2011.0,10000000.0,1759252.0,10000000.0,1759252.0,10000000.0,10000000.0,10000000.0
b262,w5704,o13472,a bug's life,a bug's life,a bug's life,1998.0,1998,1998.0,120000000.0,363300000.0,120000000.0,162798565.0,120000000.0,120000000.0,120000000.0
b273,w7218,,a christmas carol (2009),a christmas carol (2009 film),,2009.0,2009,,175000000.0,325300000.0,200000000.0,137855863.0,200000000.0,200000000.0,200000000.0
b277,w7329,o21934,a cinderella story,a cinderella story,a cinderella story,2004.0,2004,2004.0,19000000.0,70100000.0,19000000.0,51438175.0,19000000.0,19000000.0,19000000.0
b278,w7449,,a civil action,a civil action ,,1998.0,1998,,75000000.0,56709981.0,75000000.0,56709981.0,75000000.0,75000000.0,75000000.0
b285,w8796,o5308,a cure for wellness,a cure for wellness,a cure for wellness,2017.0,2016,2016.0,40000000.0,26300000.0,40000000.0,8106986.0,40000000.0,40000000.0,40000000.0
b297,w10592,,a dog's purpose,a dog's purpose ,,2017.0,2017,,22000000.0,181200000.0,22000000.0,64049720.0,22000000.0,22000000.0,22000000.0
b330,w15353,o963,a good day to die hard,a good day to die hard,a good day to die hard,2013.0,2013,2013.0,92000000.0,304700000.0,92000000.0,67349198.0,92000000.0,92000000.0,92000000.0
b339,w16065,o9614,a guy thing,a guy thing,a guy thing,2003.0,2003,2003.0,20000000.0,17432163.0,20000000.0,15545431.0,20000000.0,20000000.0,20000000.0
b344,w16515,o964,a haunted house,a haunted house,a haunted house,2013.0,2013,2013.0,2500000.0,60100000.0,2500000.0,40041683.0,2500000.0,2500000.0,2500000.0
b347,w17495,o18155,a history of violence,a history of violence,a history of violence,2005.0,2005,2005.0,32000000.0,60700000.0,32000000.0,31504633.0,32000000.0,32000000.0,32000000.0
b361,w21073,o19954,a knight's tale,a knight's tale,a knight's tale,2001.0,2001,2001.0,65000000.0,117500000.0,65000000.0,56569702.0,65000000.0,65000000.0,65000000.0
b368,w21761,o7434,a league of their own,a league of their own,a league of their own,1992.0,1992,1992.0,40000000.0,132440069.0,40000000.0,107533928.0,40000000.0,40000000.0,40000000.0
b384,w22967,o18157,a lot like love,a lot like love,a lot like love,2005.0,2005,2005.0,30000000.0,42800000.0,30000000.0,21845719.0,30000000.0,30000000.0,30000000.0
b387,w23822,o9616,a man apart,a man apart,a man apart,2003.0,2003,2003.0,36000000.0,44350926.0,36000000.0,26736098.0,36000000.0,36000000.0,36000000.0
b403,w25059,,a midsummer night's dream,a midsummer night's dream (1999 film),,1999.0,1999,,11000000.0,16071990.0,11000000.0,16071990.0,11000000.0,11000000.0,11000000.0
b406,w25069,,a mighty heart,a mighty heart ,,2007.0,2007,,16000000.0,18935657.0,16000000.0,9176787.0,16000000.0,16000000.0,16000000.0
b408,w25157,o9882,a million ways to die in the west,a million ways to die in the west,a million ways to die in the west,2014.0,2014,2014.0,40000000.0,87200000.0,40000000.0,43139300.0,40000000.0,40000000.0,40000000.0
b415,w25760,o9883,a most violent year,a most violent year,a most violent year,2014.0,2014,2014.0,20000000.0,12000000.0,20000000.0,5749134.0,20000000.0,20000000.0,20000000.0
b423,w27221,,a nightmare on elm street (2010),a nightmare on elm street (2010 film),,2010.0,2010,,35000000.0,115600000.0,35000000.0,63075011.0,35000000.0,35000000.0,35000000.0
b433,w29204,o18543,a perfect getaway,a perfect getaway,a perfect getaway,2009.0,2009,2009.0,14000000.0,22852638.0,14000000.0,15515460.0,14000000.0,14000000.0,14000000.0
b479,w34385,,a simple plan ,a simple plan ,,1998.0,1998,,17000000.0,16300000.0,30000000.0,16316273.0,30000000.0,30000000.0,30000000.0
b483,w34462,o18545,a single man,a single man,a single man,2009.0,2009,2009.0,7000000.0,25000000.0,7000000.0,9176000.0,7000000.0,7000000.0,7000000.0
b494,w35414,,a sound of thunder,a sound of thunder ,,2005.0,2005,,80000000.0,11700000.0,80000000.0,1900451.0,80000000.0,80000000.0,80000000.0
b496,w35957,,a star is born,a star is born (1954 film),,1954.0,1954,,5019770.0,6100000.0,5019770.0,4335968.0,5019770.0,5019770.0,5019770.0
b516,w38209,,a thousand words,a thousand words ,,2012.0,2012,,40000000.0,22000000.0,40000000.0,18450127.0,40000000.0,40000000.0,40000000.0
b529,w40475,o5061,a very brady sequel,a very brady sequel,a very brady sequel,1996.0,1996,1996.0,15000000.0,21440752.0,12000000.0,21440752.0,12000000.0,12000000.0,12000000.0
