index,key_bom,key_wiki,key_omdb,title,year,budget,gross,revenue,release_date,release_month,release_quarter,release_day_of_the_year,release_week_of_the_year,holiday_season,runtime,mpaa_rating,wiki_editing,wiki_studio,actor,director,writer,distributor,composer,cinematographer,producer,bom_awards,bom_awards_scr,actor_clean,director_clean,writer_clean,distributor_clean,composer_clean,cinematographer_clean,producer_clean,actor_score,director_score,writer_score,distributor_score,composer_score,cinematographer_score,producer_score
0,b27,w123,,"""""""10,000 bc """"""",2008,105000000.0,269800000.0,1.5695238095238095,2008-03-07 00:00:00,3.0,1.0,67.0,9.0,0.0,109.0,3.0,[Alexander Berner],"""[Legendary Pictures, Centropolis Entertainment]""","""['Steven Strait', 'Camilla Belle']""",['Roland Emmerich'],"""['Roland Emmerich', 'Harald Kloser']""",Warner Bros.,"""['Harald Kloser', 'Thomas Wander']""",[Ueli Steiger],"""['Mark Gordon', 'Harald Kloser', 'Scott Mednick', 'Thomas Tull']""",,0.0,"['Steven Strait', 'Camilla Belle']",['Roland Emmerich'],"['Roland Emmerich', 'Harald Kloser']",['Warner Bros.'],"['Harald Kloser', 'Thomas Wander']",['Ueli Steiger'],"['Mark Gordon', 'Harald Kloser', 'Scott Mednick', 'Thomas Tull']",1.397697987962963,8.819881039431584,3.139047619047619,34236.53809162237,3.187269663265306,2.8457980122510826,37.17733123742903
1,,w364,o22747,"""""""6,000 enemies""""""",1939,204000.0,358000.0,0.7549019607843137,2039-06-09 00:00:00,6.0,2.0,160.0,23.0,0.0,,,[Conrad A. Nervig],,,,,,,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,,w14968,o6022,"""""""a girl, a guy and a gob""""""",1941,412000.0,848000.0,1.058252427184466,2041-03-14 00:00:00,3.0,1.0,73.0,10.0,0.0,,,[George Crone],,,,,,,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,,w960,,"""""""alexander and the terrible, horrible, no good, very bad day """"""",,28000000.0,101400000.0,2.6214285714285714,,,,,,,,,[Pamela Martin],"""[Walt Disney Pictures, 21 Laps Entertainment, The Jim Henson Company]""",,,,,,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,,w1226,o10453,"""""""aloha, bobby and rose""""""",1975,60000.0,35000000.0,582.3333333333334,1975-04-29 00:00:00,4.0,2.0,119.0,17.0,0.0,,,[Danford B. Greene],[Cine Artists International],,,,,,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,b1662,w3520,o15817,"""""""bert rigby, you're a fool""""""",24-Feb,7000000.0,75868.0,-0.9891617142857144,1989-02-24 00:00:00,2.0,1.0,55.0,8.0,1.0,94.0,4.0,[Bud Molin],[Lorimar],['Anne Bancroft'],,,Warner Bros.,[Ralph Burns],[Jan de Bont],[George Shapiro],,0.0,['Anne Bancroft'],[''],[''],['Warner Bros.'],['Ralph Burns'],['Jan de Bont'],['George Shapiro'],292184.3478719735,0.0,0.0,34236.53809162237,16.119434002812664,5.37730419836037,-0.9891617142857144
6,b1778,w3865,o2465,"""""""big mommas: like father, like son""""""",2011,32000000.0,83900000.0,1.621875,2011-02-18 00:00:00,2.0,1.0,49.0,7.0,1.0,107.0,3.0,[Priscilla Nedd-Friendly],"""[Regency Enterprises, New Regency, Friendly Films, Runteldat Entertainment, The Collective, Dune Entertainment]""","""['Martin Lawrence', 'Brandon T. Jackson', 'Portia Doubleday', 'Jessica Lucas', 'Ana Ortiz', 'Ken Jeong*']""",['John Whitesell'],"""['Matthew Fogel', 'Don Rhymer']""",Fox,[David Newman],[Anthony B. Richmond],['Arnon Milchan'],,0.0,"['Martin Lawrence', 'Brandon T. Jackson', 'Portia Doubleday', 'Jessica Lucas', 'Ana Ortiz', 'Ken Jeong']",['John Whitesell'],"['Matthew Fogel', 'Don Rhymer']",['Fox'],['David Newman'],['Anthony B. Richmond'],['Arnon Milchan'],18.623286333763595,1.3262972480392157,4.1181135703081235,32164.623051773695,40066.58344857086,1.9489601673309145,10.801550559752867
7,b3073,w8228,,"""""""corrina, corrina """"""",1994,22000000.0,20164171.0,-0.08344677272727273,1994-08-12 00:00:00,8.0,3.0,224.0,32.0,0.0,115.0,2.0,[Lee Percy],[Turner Pictures],"""['Whoopi Goldberg', 'Ray Liotta']""",['Jessie Nelson'],,New Line,['Thomas Newman'],[Bruce Surtees],"""['Bernie Goldmann', 'Steve Tisch']""",,0.0,"['Whoopi Goldberg', 'Ray Liotta']",['Jessie Nelson'],[''],['New Line'],['Thomas Newman'],['Bruce Surtees'],"['Bernie Goldmann', 'Steve Tisch']",14.74450104828291,2.376499646464646,0.0,9.794903514281808,23272.839399406297,4.917200128157626,250538.3377129675
8,b3123,w8498,o2497,"""""""crazy, stupid, love""""""",2011,50000000.0,142900000.0,1.858,2011-07-29 00:00:00,7.0,3.0,210.0,30.0,0.0,118.0,3.0,[Lee Haxall],"""[Carousel Productions, Di Novi Pictures]""","""['Analeigh Tipton', 'Steve Carell', 'Ryan Gosling', 'Julianne Moore', 'Emma Stone', 'Marisa Tomei', 'Kevin Bacon', 'John Carroll Lynch', 'Josh Groban', 'Joey King', 'Crystal Reed*']""","""['Glenn Ficarra', 'John Requa']""",['Dan Fogelman'],Warner Bros.,"""['Christophe Beck', 'Nick Urata']""",[Andrew Dunn],"""['Steve Carell', 'Denise Di Novi']""",,0.0,"['Analeigh Tipton', 'Steve Carell', 'Ryan Gosling', 'Julianne Moore', 'Emma Stone', 'Marisa Tomei', 'Kevin Bacon', 'John Carroll Lynch', 'Josh Groban', 'Joey King', 'Crystal Reed']","['Glenn Ficarra', 'John Requa']",['Dan Fogelman'],['Warner Bros.'],"['Christophe Beck', 'Nick Urata']",['Andrew Dunn'],"['Steve Carell', 'Denise Di Novi']",440542.67735725234,1.5694285714285714,482252.4804775641,34236.53809162237,181715.92212431293,0.8493665865535203,7.351653054479783
9,b3171,w8677,o10607,"""""""crouching tiger, hidden dragon""""""",2000,17000000.0,213500000.0,11.558823529411766,2000-12-08 00:00:00,12.0,4.0,343.0,49.0,0.0,120.0,3.0,[Tim Squyres],,['Zhang Ziyi'],['Ang Lee'],"""['James Schamus', 'Kuo Jung Tsai']""",Sony Classics,['Tan Dun'],[Peter Pau],"""[Bill Kong, Hsu Li-kong, Ang Lee]""","""Nominated for Ten Oscars, Including Four Wins.""",30.0,['Zhang Ziyi'],['Ang Lee'],"['James Schamus', 'Kuo Jung Tsai']",['Sony Classics'],['Tan Dun'],['Peter Pau'],"['Bill Kong', 'Hsu Li-kong', 'Ang Lee']",30.60864923747277,25.243426263958302,62.963527394937515,185178.91962402276,41.55882352941177,31.7201705114817,118.22763485784314
