feature,importance
mpaa_rating,0.0
holiday_season,0.0
genre_cluster * writer_score,0.0
distributor_score,0.0
genre_cluster,0.2192426302787288
release_quarter,0.4093118934098921
release_month,0.6222276932998771
release_week_of_the_year,3.6434474447361516
genre_cluster * producer_score,8.705478695147434
cinematographer_score,8.892568356431514
bom_budget,8.945152544715944
producer_score,9.154545269167794
release_day_of_the_year,11.948871283180509
genre_cluster * director_score,14.61974627089487
composer_score,30.50511405051341
writer_score,52.937770088938244
genre_cluster * actor_score,83.49016780074969
director_score,92.6620532313531
actor_score,100.0
