feature,importance
release_quarter,0.010673319378011407
holiday_season,0.11894102688954691
genre_cluster,0.522892737440222
release_month,1.109118093152065
release_week_of_the_year,2.62837341037218
cinematographer_score,2.860817459283521
mpaa_rating,2.973949724068274
genre_cluster * producer_score,3.1281041433762704
genre_cluster * writer_score,3.617313628634862
producer_score,5.711676234280846
composer_score,6.938696135230766
genre_cluster * actor_score,7.858656509008406
release_day_of_the_year,8.684084933107298
actor_score,8.785668718226836
distributor_score,13.271011134908026
bom_budget,15.217443533147792
genre_cluster * director_score,18.558433707586815
writer_score,33.47382117578442
director_score,100.0
