key_bom,bom_title,bom_budget,bom_worldwide_revenue,revenue
b10,(500) days of summer,7500000.0,60722734.0,7.096364533333333
b24,10 things i hate about you,30000000.0,53478166.0,0.7826055333333334
b27,"""10,000 b.c.""",105000000.0,269784201.0,1.5693733428571428
b38,102 dalmatians,85000000.0,183611771.0,1.1601384823529413
b39,10th &amp; wolf,8000000.0,143451.0,-0.982068625
b48,12 years a slave,20000000.0,187733202.0,8.3866601
b50,127 hours,18000000.0,60738797.0,2.374377611111111
b54,13 going on 30,37000000.0,96455697.0,1.6069107297297298
b55,13 hours: the secret soldiers of benghazi,50000000.0,69411370.0,0.3882274
b62,1408,25000000.0,131998242.0,4.27992968
b66,15 minutes,60000000.0,56359980.0,-0.060667
b80,1941,35000000.0,92455742.0,1.6415926285714286
b89,2 fast 2 furious,76000000.0,236350661.0,2.1098771184210525
b90,2 guns,61000000.0,131940411.0,1.1629575573770492
b110,2012,200000000.0,769679473.0,2.848397365
b119,2046,12000000.0,19470239.0,0.6225199166666666
b121,21,35000000.0,157927340.0,3.5122097142857145
b122,21 grams,20000000.0,60427839.0,2.02139195
b123,21 jump street,42000000.0,201585328.0,3.7996506666666665
b124,21 and over,13000000.0,48065672.0,2.6973593846153845
b126,22 jump street,50000000.0,331333876.0,5.62667752
b131,25th hour,5000000.0,23928503.0,3.7857006
b132,27 dresses,30000000.0,160259319.0,4.3419773
b133,28 days,43000000.0,62198945.0,0.4464870930232558
b134,28 days later,8000000.0,82719885.0,9.339985625
b143,3 days to kill,28000000.0,52597999.0,0.8784999642857143
b159,30 days of night,30000000.0,75505973.0,1.5168657666666667
b160,30 minutes or less,28000000.0,40547440.0,0.44812285714285716
b162,300,65000000.0,456068181.0,6.016433553846154
b163,3000 miles to graceland,62000000.0,18720175.0,-0.6980616935483871
b164,300: rise of an empire,110000000.0,337580051.0,2.0689095545454546
b174,3:10 to yuma (2007),55000000.0,70016220.0,0.27302218181818183
b185,47 ronin,175000000.0,151783839.0,-0.13266377714285715
b191,5 days of war,12000000.0,17479.0,-0.9985434166666667
b194,50 first dates,75000000.0,196482882.0,1.61977176
b197,50/50,8000000.0,39187783.0,3.898472875
b220,8 mile,41000000.0,242875078.0,4.923782390243902
b228,8mm,40000000.0,96618699.0,1.415467475
b229,9,30000000.0,48428063.0,0.6142687666666666
b236,99 homes,8000000.0,1411927.0,-0.823509125
b243,a beautiful mind,58000000.0,313542341.0,4.405902431034483
b246,a better life,10000000.0,1759252.0,-0.8240748
b262,a bug's life,120000000.0,363258859.0,2.0271571583333334
b273,a christmas carol (2009),200000000.0,325286646.0,0.62643323
b277,a cinderella story,19000000.0,70067909.0,2.687784684210526
b285,a cure for wellness,40000000.0,26324272.0,-0.3418932
b297,a dog's purpose,22000000.0,181249720.0,7.238623636363636
b306,a few good men,40000000.0,243240178.0,5.08100445
b330,a good day to die hard,92000000.0,304654182.0,2.3114585
b334,a good year,35000000.0,42064105.0,0.20183157142857142
b339,a guy thing,20000000.0,17432163.0,-0.12839185
b344,a haunted house,2500000.0,60141683.0,23.0566732
b345,a haunted house 2,4000000.0,23959486.0,4.9898715
b347,a history of violence,32000000.0,60740827.0,0.89815084375
b352,a home at the end of the world,6500000.0,1548955.0,-0.7616992307692307
b361,a knight's tale,65000000.0,117487473.0,0.8074995846153846
b368,a league of their own,40000000.0,132440069.0,2.311001725
b384,a lot like love,30000000.0,42886719.0,0.4295573
b387,a man apart,36000000.0,44350926.0,0.23197016666666667
b406,a mighty heart,16000000.0,18935657.0,0.1834785625
b408,a million ways to die in the west,40000000.0,87189756.0,1.1797439
b415,a most violent year,20000000.0,12007070.0,-0.3996465
b423,a nightmare on elm street (2010),35000000.0,115664037.0,2.3046867714285715
b433,a perfect getaway,14000000.0,22852638.0,0.6323312857142858
b452,a prophet (un prophète),13000000.0,17873691.0,0.37489930769230767
b483,a single man,7000000.0,24964890.0,2.5664128571428573
b494,a sound of thunder,80000000.0,11665465.0,-0.8541816875
b516,a thousand words,40000000.0,22044277.0,-0.448893075
b530,a very harold &amp; kumar 3d christmas,19000000.0,35387212.0,0.8624848421052631
b531,a very long engagement,56600000.0,70115868.0,0.23879625441696112
b534,a walk among the tombstones,28000000.0,53181600.0,0.8993428571428571
b539,a walk to remember,11800000.0,47494916.0,3.0249928813559324
b554,a.i. artificial intelligence,100000000.0,235926552.0,1.35926552
b567,abandon,25000000.0,12302219.0,-0.50791124
b568,abduction,35000000.0,82087155.0,1.3453472857142856
b579,about last night (2014),12500000.0,49002684.0,2.92021472
b582,about schmidt,30000000.0,105834556.0,2.5278185333333334
b584,about a boy,30000000.0,130549455.0,3.3516485
b589,abraham lincoln: vampire hunter,69000000.0,116471580.0,0.6879939130434782
b599,accepted,23000000.0,38505009.0,0.6741308260869565
b602,ace ventura: pet detective,15000000.0,107217396.0,6.1478264
b610,act of valor,12000000.0,81272766.0,5.7727305
b619,adaptation.,19000000.0,32801173.0,0.7263775263157894
b626,admission,13000000.0,18007317.0,0.38517823076923074
b644,aeon flux,62000000.0,52304001.0,-0.1563870806451613
b657,after earth,130000000.0,243843127.0,0.8757163615384616
b669,after the sunset,60000000.0,61347797.0,0.022463283333333334
b687,agent cody banks,28000000.0,58795814.0,1.0998505
b688,agent cody banks 2: destination london,26000000.0,28818995.0,0.10842288461538462
b695,agora,70000000.0,39041505.0,-0.4422642142857143
b709,air force one,85000000.0,315156409.0,2.7077224588235294
b720,ajami,1000000.0,1291848.0,0.291848
b721,akeelah and the bee,8000000.0,18948425.0,1.368553125
b727,aladdin,28000000.0,504050219.0,17.001793535714285
b734,alex cross,35000000.0,34588412.0,-0.011759657142857143
b736,alex and emma,30000000.0,15368897.0,-0.4877034333333333
b738,alexander,155000000.0,167298192.0,0.07934317419354839
b739,"""alexander and the terrible, horrible, no good, very bad day""",28000000.0,101379287.0,2.6206888214285713
b743,alfie,60000000.0,35150546.0,-0.41415756666666664
b746,ali,107000000.0,87713825.0,-0.1802446261682243
b752,alice through the looking glass,170000000.0,299457024.0,0.761511905882353
b755,alice in wonderland (2010),200000000.0,1025467110.0,4.12733555
b757,alien,11000000.0,104931801.0,8.539254636363637
b758,alien 3,50000000.0,159814498.0,2.19628996
b763,alien resurrection,75000000.0,161376068.0,1.1516809066666667
b765,alien vs. predator,60000000.0,172544654.0,1.8757442333333334
b770,aliens in the attic,45000000.0,57881056.0,0.2862456888888889
b783,all about the benjamins,15000000.0,26306533.0,0.7537688666666666
b810,all or nothing,9000000.0,201546.0,-0.977606
b813,all the king's men,55000000.0,9450897.0,-0.8281655090909091
b817,all the pretty horses,57000000.0,18133495.0,-0.6818685087719298
b828,allied,85000000.0,119520023.0,0.40611791764705885
b829,almost christmas,17000000.0,42487325.0,1.499254411764706
b830,almost famous,60000000.0,47383689.0,-0.21027185
b840,aloha,37000000.0,26250020.0,-0.29054
b843,alone in the dark,20000000.0,10442808.0,-0.4778596
b845,along came polly,42000000.0,171963386.0,3.0943663333333333
b846,along came a spider,60000000.0,105178561.0,0.7529760166666667
b857,alvin and the chipmunks,60000000.0,361336633.0,5.022277216666667
b858,alvin and the chipmunks: chipwrecked,75000000.0,342695435.0,3.569272466666667
b860,alvin and the chipmunks: the squeakquel,75000000.0,443140005.0,4.9085334
b874,amelia,40000000.0,19642013.0,-0.508949675
b875,amelie,10000000.0,173921954.0,16.3921954
b883,america's sweethearts,46000000.0,138191428.0,2.0041614782608694
b888,american beauty,15000000.0,356296601.0,22.753106733333333
b896,american dreamz,17000000.0,16458459.0,-0.031855352941176474
b899,american gangster,100000000.0,266465037.0,1.66465037
b906,american history x,20000000.0,23875127.0,0.19375635
b909,american hustle,40000000.0,251171807.0,5.279295175
b923,american pie,11000000.0,235483004.0,20.40754581818182
b924,american pie 2,30000000.0,287553595.0,8.585119833333334
b928,american psycho,7000000.0,34266564.0,3.8952234285714287
b929,american reunion,50000000.0,234989584.0,3.69979168
b930,american sniper,58800000.0,547426372.0,8.30997231292517
b937,american ultra,28000000.0,27139524.0,-0.030731285714285714
b939,american wedding,55000000.0,231449203.0,3.208167327272727
b959,amour,8900000.0,19839492.0,1.2291564044943821
b975,an american haunting,14000000.0,29612137.0,1.1151526428571428
b984,an education,7500000.0,26096852.0,2.479580266666667
b995,an unfinished life,30000000.0,18618284.0,-0.37939053333333334
b999,anacondas: the hunt for the blood orchid,20000000.0,70992898.0,2.5496449
b1000,analyze that,60000000.0,55003135.0,-0.08328108333333334
b1001,analyze this,80000000.0,176885658.0,1.211070725
b1010,anchorman 2: the legend continues,50000000.0,173649015.0,2.4729803
b1011,anchorman: the legend of ron burgundy,26000000.0,90574188.0,2.4836226153846153
b1028,angel eyes,53000000.0,29715606.0,-0.4393281886792453
b1035,angels &amp; demons,150000000.0,485930816.0,2.2395387733333334
b1041,anger management,75000000.0,195745823.0,1.6099443066666668
b1061,anna and the king,92000000.0,113996937.0,0.23909714130434784
b1062,annabelle,6500000.0,256873813.0,38.51904815384616
b1071,annie (2014),65000000.0,133821816.0,1.0587971692307692
b1075,anomalisa,8000000.0,5659286.0,-0.29258925
b1076,anonymous,30000000.0,15395087.0,-0.4868304333333333
b1089,another year,8000000.0,19722766.0,1.46534575
b1092,ant-man,130000000.0,519311965.0,2.9947074230769233
b1106,antwone fisher,12500000.0,23367586.0,0.86940688
b1107,antz,105000000.0,171757863.0,0.6357891714285714
b1111,any given sunday,55000000.0,100230832.0,0.8223787636363636
b1114,anything else,18000000.0,13585075.0,-0.24527361111111112
b1116,anywhere but here,23000000.0,23631929.0,0.02747517391304348
b1125,apocalypto,40000000.0,120654337.0,2.016358425
b1128,apollo 18,5000000.0,25562924.0,4.1125848
b1129,appaloosa,20000000.0,27665851.0,0.38329255
b1145,aquamarine,12000000.0,23006849.0,0.9172374166666667
b1154,ararat,15500000.0,2743336.0,-0.8230105806451613
b1161,are we there yet?,32000000.0,97918663.0,2.05995821875
b1166,argo,44500000.0,232325503.0,4.220797820224719
b1171,arlington road,31000000.0,41067311.0,0.3247519677419355
b1174,armageddon,140000000.0,553709788.0,2.955069914285714
b1176,armored,20000000.0,22942221.0,0.14711105
b1184,around the world in 80 days,110000000.0,72178895.0,-0.34382822727272727
b1186,arrival,47000000.0,198024964.0,3.2132971063829787
b1197,arthur (2011),40000000.0,45735397.0,0.143384925
b1201,arthur and the invisibles,86000000.0,107944236.0,0.25516553488372096
b1208,as good as it gets,50000000.0,314178011.0,5.28356022
b1224,assassin's creed,125000000.0,240742399.0,0.925939192
b1230,assault on precinct 13,30000000.0,35294470.0,0.17648233333333332
b1235,astro boy,65000000.0,39886986.0,-0.3863540615384615
b1246,atlantis: the lost empire,120000000.0,186053725.0,0.5504477083333333
