key_bom	key_wiki	key_omdb	bom_title	wiki_title	omdb_title	year_bom_format	year_wiki_format	year_omdb_format	wiki_budget	wiki_gross	bom_budget	bom_domestic_gross	bom_worldwide_revenue
b27	w123		"""10,000 b.c."""	"""10,000 bc """		2008	2008		[$105 million]	[$269.8 million]	$105 million	94784201	"""$269,784,201 """
b38	w299	o10558	102 dalmatians	102 dalmatians	102 dalmatians	2000	2000	2000	[$85 million]	[$183.6 million]	$85 million	66957026	"""$183,611,771 """
b48	w147		12 years a slave	12 years a slave 		2013	2013		[$17.1 million]	[$187.7 million]	$20 million	56671993	"""$187,733,202 """
b50	w302	o7878	127 hours	127 hours	127 hours	2010	yes	2010	[$18 million]	[$60.7 million]	$18 million	18335230	"""$60,738,797 """
b55	w160		13 hours: the secret soldiers of benghazi	13 hours: the secret soldiers of benghazi		2016	2016		[$50 million]	[$70 million]	$50 million	52853219	"""$69,411,370 """
b62	w338		1408	1408		2007	2007		[$25 million]	[$132 million]	$25 million	71985628	"""$131,998,242 """
b63	w339	o7430	1492: conquest of paradise	1492: conquest of paradise	1492: conquest of paradise	1992	8-Oct	1992	[$47 million]	"""[$7,191,399]"""	$47 million	7191399	
b66	w177	o19945	15 minutes	15 minutes	15 minutes	2001	2001	2001	[$42 million]	[$56.3 million]	$60 million	24403552	"""$56,359,980 """
b100	w306	o2008	200 cigarettes	200 cigarettes	200 cigarettes	1999	1999	1999	[$6 million]	"""[$6,852,450]"""	$6 million	6852450	
b110	w353		2012	2012		2009	2009		[$200 million]	[$769.7 million]	$200 million	166112167	"""$769,679,473 """
b126	w201	o9866	22 jump street	22 jump street	22 jump street	2014	2014	2014	[$84.5 million (gross)]	[$331.3 million]	$50 million	191719337	"""$331,333,876 """
b131	w213	o16175	25th hour	25th hour	25th hour	2002	2002	2002	[$5 million]	[$23.9 million]	$5 million	13084595	"""$23,928,503 """
b132	w215	o16433	27 dresses	27 dresses	27 dresses	2008	2008	2008	[$30 million]	[$160.3 million]	$30 million	76808654	"""$160,259,319 """
b143	w24	o9867	3 days to kill	3 days to kill	3 days to kill	2014	yes	2014	[$28 million]	[$52.6 million]	$28 million	30697999	"""$52,597,999 """
b154	w39		3 strikes	3 strikes 		2000	2000		[$3.4 million]	[$9.8 million]	$3.4 million	9832166	
b160	w230	o2413	30 minutes or less	30 minutes or less	30 minutes or less	2011	2011	2011	[$28 million]	[$40.5 million]	$28 million	37053924	"""$40,547,440 """
b179	w251		42	42		2013	2013		[$40 million]	[$97.5 million]	$40 million	95020213	
b194	w262	o21932	50 first dates	50 first dates	50 first dates	2004	2004	2004	[$75 million]	[$196.5 million]	$75 million	120908074	"""$196,482,882 """
b220	w95		8 mile	8 mile 		2002	2002		[$41 million]	[$242.9 million]	$41 million	116750901	"""$242,875,078 """
b228	w99		8mm	8mm 		1999	1999		[$40 million]	[$96.6 million]	$40 million	36663315	"""$96,618,699 """
b233	w280		90 minutes in heaven	90 minutes in heaven 		2015	2015		[$5 million]	[$4.8 million]	$5 million	4842699	
b236	w284	o9874	99 homes	99 homes	99 homes	2015	2014	2014	[$8 million]	[$1.9 million]	$8 million	1411927	"""$1,411,927 """
b243	w3195		a beautiful mind	a beautiful mind 		2001	2001		[$58 million]	[$313 million]	$58 million	170742341	"""$313,542,341 """
b246	w3588	o2420	a better life	a better life	a better life	2011	2011	2011	[$10 million]	"""[$1,759,252]"""	$10 million	1759252	"""$1,759,252 """
b262	w5704	o13472	a bug's life	a bug's life	a bug's life	1998	1998	1998	[$120 million]	[$363.3 million]	$120 million	162798565	"""$363,258,859 """
b273	w7218		a christmas carol (2009)	a christmas carol (2009 film)		2009	2009		[$175 million]	[$325.3 million]	$200 million	137855863	"""$325,286,646 """
b277	w7329	o21934	a cinderella story	a cinderella story	a cinderella story	2004	2004	2004	[$19 million]	[$70.1 million]	$19 million	51438175	"""$70,067,909 """
b278	w7449		a civil action	a civil action 		1998	1998		[$75 million]	"""[$56,709,981]"""	$75 million	56709981	
b285	w8796	o5308	a cure for wellness	a cure for wellness	a cure for wellness	2017	2016	2016	[$40 million]	[$26.3 million]	$40 million	8106986	"""$26,324,272 """
b297	w10592		a dog's purpose	a dog's purpose 		2017	2017		[$22 million]	[$181.2 million]	$22 million	64049720	"""$181,249,720 """
b306	w12766	o7432	a few good men	a few good men	a few good men	1992	1992	1992	[$33â40 million]	[$243.2 million]	$40 million	141340178	"""$243,240,178 """
b330	w15353	o963	a good day to die hard	a good day to die hard	a good day to die hard	2013	2013	2013	[$92 million]	[$304.7 million]	$92 million	67349198	"""$304,654,182 """
b339	w16065	o9614	a guy thing	a guy thing	a guy thing	2003	2003	2003	[$20 million]	"""[$17,432,163]"""	$20 million	15545431	"""$17,432,163 """
b344	w16515	o964	a haunted house	a haunted house	a haunted house	2013	2013	2013	[$2.5 million]	[$60.1 million]	$2.5 million	40041683	"""$60,141,683 """
b347	w17495	o18155	a history of violence	a history of violence	a history of violence	2005	2005	2005	[$32 million]	[$60.7 million]	$32 million	31504633	"""$60,740,827 """
b361	w21073	o19954	a knight's tale	a knight's tale	a knight's tale	2001	2001	2001	[$65 million]	[$117.5 million]	$65 million	56569702	"""$117,487,473 """
b368	w21761	o7434	a league of their own	a league of their own	a league of their own	1992	1992	1992	[$40 million]	"""[$132,440,069]"""	$40 million	107533928	"""$132,440,069 """
b384	w22967	o18157	a lot like love	a lot like love	a lot like love	2005	2005	2005	[$30 million]	[$42.8 million]	$30 million	21845719	"""$42,886,719 """
b387	w23822	o9616	a man apart	a man apart	a man apart	2003	2003	2003	[$36 million]	"""[$44,350,926]"""	$36 million	26736098	"""$44,350,926 """
b403	w25059		a midsummer night's dream	a midsummer night's dream (1999 film)		1999	1999		[$11 million]	"""[$16,071,990]"""	$11 million	16071990	
b406	w25069		a mighty heart	a mighty heart 		2007	2007		[$16 million]	"""[$18,935,657]"""	$16 million	9176787	"""$18,935,657 """
b408	w25157	o9882	a million ways to die in the west	a million ways to die in the west	a million ways to die in the west	2014	2014	2014	[$40 million]	[$87.2 million]	$40 million	43139300	"""$87,189,756 """
b415	w25760	o9883	a most violent year	a most violent year	a most violent year	2014	2014	2014	[$20 million]	[$12 million]	$20 million	5749134	"""$12,007,070 """
b423	w27221		a nightmare on elm street (2010)	a nightmare on elm street (2010 film)		2010	2010		[$35 million]	[$115.6 million]	$35 million	63075011	"""$115,664,037 """
b433	w29204	o18543	a perfect getaway	a perfect getaway	a perfect getaway	2009	2009	2009	[$14 million]	"""[$22,852,638]"""	$14 million	15515460	"""$22,852,638 """
b479	w34385		a simple plan 	a simple plan 		1998	1998		[$17 million]	[$16.3 million</small>]	$30 million	16316273	
b483	w34462	o18545	a single man	a single man	a single man	2009	2009	2009	[$7 million]	[$25 million]	$7 million	9176000	"""$24,964,890 """
b494	w35414		a sound of thunder	a sound of thunder 		2005	2005		[$80 million]	[$11.7 million]	$80 million	1900451	"""$11,665,465 """
b496	w35957		a star is born	a star is born (1954 film)		1954	1954		"""[$5,019,770]"""	"""[$6,100,000]"""	$5.01977 million	4335968	
b516	w38209		a thousand words	a thousand words 		2012	2012		[$40 million]	[$22 million]	$40 million	18450127	"""$22,044,277 """
b529	w40475	o5061	a very brady sequel	a very brady sequel	a very brady sequel	1996	1996	1996	[$15 million]	"""[$21,440,752]"""	$12 million	21440752	
b530	w40479	o2426	a very harold &amp; kumar 3d christmas	a very harold & kumar 3d christmas	a very harold & kumar 3d christmas	2011	2011	2011	[$19 million]	[$35.4 million]	$19 million	35061031	"""$35,387,212 """
b534	w40803		a walk among the tombstones	a walk among the tombstones 		2014	2014		[$28 million]	[$62.1 million]	$28 million	26307600	"""$53,181,600 """
b539	w40825	o16181	a walk to remember	a walk to remember	a walk to remember	2002	2002	2002	[$11.8 million]	"""[$47,494,916]"""	$11.8 million	41281092	"""$47,494,916 """
b554	w391	o19956	a.i. artificial intelligence	a.i. artificial intelligence	a.i. artificial intelligence	2001	2001	2001	[$100 million]	[$235.9 million]	$100 million	78616689	"""$235,926,552 """
b567	w403		abandon	abandon 		2002	2002		[$25 million]	[$12.3 million]	$25 million	10727683	"""$12,302,219 """
b579	w446		about last night (2014)	about last night (2014 film)		2014	2014		[$12.5 million]	[$49 million]	$12.5 million	48637684	"""$49,002,684 """
b599	w483	o20196	accepted	accepted	accepted	2006	2006	2006	[$23 million]	[$38.5 million]	$23 million	36323505	"""$38,505,009 """
b602	w518	o2248	ace ventura: pet detective	ace ventura: pet detective	ace ventura: pet detective	1994	1994	1994	[$15 million]	[$107.2 million]	$15 million	72217396	"""$107,217,396 """
b626	w607		admission	admission 		2013	2013		[$13 million]	"""[$18,637,201]"""	$13 million	18007317	"""$18,007,317 """
b657	w776	o975	after earth	after earth	after earth	2013	2013	2013	[$130]	[$243.8 million]	$130 million	60522097	"""$243,843,127 """
b669	w802	o21944	after the sunset	after the sunset	after the sunset	2004	2004	2004	[$59 million]	"""[$61,347,797]"""	$60 million	28331233	"""$61,347,797 """
b687	w848	o9620	agent cody banks	agent cody banks	agent cody banks	2003	2003	2003	[$28 million]	[$58.7 million]	$28 million	47938330	"""$58,795,814 """
b709	w885		air force one	air force one 		1997	1997		[$85 million]	[$315.2 million]	$85 million	172956409	"""$315,156,409 """
b721	w910	o20198	akeelah and the bee	akeelah and the bee	akeelah and the bee	2006	2006	2006	[$6â8 million]	[$18.9 million]	$8 million	18848430	"""$18,948,425 """
b733	w947		albino alligator	albino alligator		1997	1997		[$6 million]	"""[$339,379]"""	$6 million	339379	
b734	w956		alex cross	alex cross 		2012	2012		[$35 million]	[$34.6 million]	$35 million	25888412	"""$34,588,412 """
b757	w1023		alien	alien 		1979	1979		[$9â11 million]	[$104.9â203.6 million]	$11 million	78944891	"""$104,931,801 """
b763	w1053	o6365	alien resurrection	alien: resurrection	alien: resurrection	1997	1997	1997	[$60â75 million]	[$160.7â161.4 million]	$75 million	47795658	"""$161,376,068 """
b765	w1051		alien vs. predator	alien vs. predator 		2004	2004		[$60 million]	[$172.5 million]	$60 million	80282231	"""$172,544,654 """
b770	w1055	o18556	aliens in the attic	aliens in the attic	aliens in the attic	2009	2009	2009	[$45 million]	[$57.9 million]	$45 million	25200412	"""$57,881,056 """
b783	w1073	o16184	all about the benjamins	all about the benjamins	all about the benjamins	2002	2002	2002	[$15 million]	"""[$26,306,533]"""	$15 million	25916319	"""$26,306,533 """
b800	w1127		all quiet on the western front	all quiet on the western front (1930 film)		1930	1930		[$1.2 million]	[$1.5 million (US)]	$1.2 million		
b813	w1145		all the king's men	all the king's men (2006 film)		2006	2006		[$55 million]	[$9.5 million]	$55 million	7221458	"""$9,450,897 """
b828	w1193		allied	allied 		2016	2016		[$85 million]	[$119.5 million]	$85 million	40098064	"""$119,520,023 """
b829	w1210		almost christmas	almost christmas 		2016	2016		[$17 million]	[$42.5 million]	$17 million	42065185	"""$42,487,325 """
b830	w1211	o10569	almost famous	almost famous	almost famous	2000	13-Sep	2000	[$60 million]	[$47.4 million]	$60 million	32534850	"""$47,383,689 """
b840	w1222		aloha	aloha 		2015	2015		[$52 million (gross)]	[$26.3 million]	$37 million	21067116	"""$26,250,020 """
b842	w1235	o983	alone yet not alone	alone yet not alone	alone yet not alone	2013	2013	2013	[$7 million]	"""[$887,851]"""	$7 million	887851	
b843	w1231		alone in the dark	alone in the dark (2005 film)		2005	2005		[$20 million]	[$10.4 million]	$20 million	5178569	"""$10,442,808 """
b845	w1241	o21947	along came polly	along came polly	along came polly	2004	2004	2004	[$42 million]	[$173 million]	$42 million	88097164	"""$171,963,386 """
b846	w1236		along came a spider	along came a spider 		2001	2001		[$60 million]	[$105.2 million]	$60 million	74078174	"""$105,178,561 """
b857	w1272		alvin and the chipmunks	alvin and the chipmunks 		2007	2007		[$60 million]	[$361.3 million]	$60 million	217326974	"""$361,336,633 """
b858	w1276	o2437	alvin and the chipmunks: chipwrecked	alvin and the chipmunks: chipwrecked	alvin and the chipmunks: chipwrecked	2011	2011	2011	[$80 million]	[$342.7 million]	$75 million	133110742	"""$342,695,435 """
b860	w1277	o18561	alvin and the chipmunks: the squeakquel	alvin and the chipmunks: the squeakquel	alvin and the chipmunks: the squeakquel	2009	2009	2009	[$70 million]	"""[$443,140,005]"""	$75 million	219614612	"""$443,140,005 """
b874	w1353		amelia	amelia 		2009	2009		[$40 million]	[$19.6 million]	$40 million	14245415	"""$19,642,013 """
b883	w1367	o19959	america's sweethearts	america's sweethearts	america's sweethearts	2001	2001	2001	[$64.4 million]	[$138.2 million]	$46 million	93607673	"""$138,191,428 """
b888	w1378		american beauty	american beauty (1999 film)		1999	1999		[$15 million]	[$356.3 million]	$15 million	130096601	"""$356,296,601 """
b896	w1402	o20203	american dreamz	american dreamz	american dreamz	2006	21-Apr	2006	[$17 million]	"""[$16,458,459]"""	$17 million	7191830	"""$16,458,459 """
b899	w1413		american gangster	american gangster 		2007	2007		[$100 million]	[$266.5 million]	$100 million	130164645	"""$266,465,037 """
b909	w1440	o988	american hustle	american hustle	american hustle	2013	2013	2013	[$40 million]	[$251.2 million]	$40 million	150117807	"""$251,171,807 """
b923	w1468	o2022	american pie	american pie 	american pimp	1999	1999	1999	[$11 million]	"""[$235,483,004]"""	$11 million	102561004	"""$235,483,004 """
b924	w1469	o19964	american pie 2	american pie 2	american pie 2	2001	2001	2001	[$30 million]	[$287.5 million]	$30 million	145103595	"""$287,553,595 """
b928	w1478		american psycho	american psycho 		2000	2000		[$7 million]	[$34.3 million]	$7 million	15070285	"""$34,266,564 """
b937	w1514	o8822	american ultra	american ultra	american ultra	2015	2015	2015	[$28 million]	[$27.1 million]	$28 million	14440985	"""$27,139,524 """
b939	w1522	o9624	american wedding	american wedding	american wedding	2003	2003	2003	[$55 million]	"""[$231,449,203]"""	$55 million	104565114	"""$231,449,203 """
b949	w1547		amistad	amistad 		1997	1997		[$36 million]	[$44.2 million]	$36 million	44229441	
b973	w1387	o16447	an american carol	an american carol	an american carol	2008	2008	2008	[$20 million]	"""[$7,013,191]"""	$20 million	7013191	
b975	w1430	o18170	an american haunting	an american haunting	an american haunting	2006	2005	2005	[$14 million]	"""[$29,612,137]"""	$14 million	16298046	"""$29,612,137 """
b985	w11909	o10571	an everlasting piece	an everlasting piece	an everlasting piece	2000	2000	2000	[$14 million]	"""[$75,228]"""	$14 million	75228	
b995	w40052	o18171	an unfinished life	an unfinished life	an unfinished life	2005	2005	2005	[$30 million]	[$18.6 million]	$30 million	8586392	"""$18,618,284 """
b999	w1580	o21950	anacondas: the hunt for the blood orchid	anacondas: the hunt for the blood orchid	anacondas: the hunt for the blood orchid	2004	2004	2004	[$20 million]	[$71 million]	$20 million	32238923	"""$70,992,898 """
b1000	w1583	o16187	analyze that	analyze that	analyze that	2002	2002	2002	[$60 million]	"""[$55,003,135]"""	$60 million	32130627	"""$55,003,135 """
b1001	w1584	o2024	analyze this	analyze this	analyze this	1999	1999	1999	[$80 million]	[$176.9 million]	$80 million	106885658	"""$176,885,658 """
b1010	w1595	o992	anchorman 2: the legend continues	anchorman 2: the legend continues	anchorman 2: the legend continues	2013	2013	2013	[$50 million]	[$173.6 million]	$50 million	125168368	"""$173,649,015 """
b1011	w1596	o21951	anchorman: the legend of ron burgundy	anchorman: the legend of ron burgundy	anchorman: the legend of ron burgundy	2004	2004	2004	[$26 million]	[$90.6 million]	$26 million	85288303	"""$90,574,188 """
b1028	w1648		angel eyes	angel eyes 		2001	2001		[$53 million]	"""[$29,715,606]"""	$53 million	24174218	"""$29,715,606 """
b1030	w1651	o1319	angel heart	angel heart	angel heart	1987	1987	1987	[$18 million]	[$17 million]	$17 million	17185632	
b1034	w1670		angela's ashes	angela's ashes 		1999	1999		[$25 million]	"""[$13,042,112]"""	$50 million	13042112	
b1035	w1673		angels &amp; demons	angels & demons 		2009	2009		[$150 million]	[$485.9 million]	$150 million	133375846	"""$485,930,816 """
b1041	w1693		anger management	anger management 		2003	2003		[$75 million]	[$195.7 million]	$75 million	135645823	"""$195,745,823 """
b1061	w1721	o2026	anna and the king	anna and the king	anna and the king	1999	1999	1999	[$92 million]	"""[$113,996,937]"""	$92 million	39263420	"""$113,996,937 """
b1062	w1738		annabelle	annabelle 		2014	2014		[$6.5 million]	[$256.9 million]	$6.5 million	84273813	"""$256,873,813 """
b1071	w1755		annie (2014)	annie (2014 film)		2014	2014		[$65 million]	[$133.8 million]	$65 million	85911262	"""$133,821,816 """
b1073	w1757	o14512	annie hall	annie hall	annie hall	1977	1977	1977	[$4 million]	[$38.3 million]	$4 million	38251425	
b1090	w1800	o13697	another you	another you	another you	1991	1991	1991	[$17 million]	"""[$2,865,916]"""	$17 million	2865916	
b1092	w1807		ant-man	ant-man 		2015	2015		[$130 million]	[$519.3 million]	$130 million	180202163	"""$519,311,965 """
b1106	w1822		antwone fisher	antwone fisher 		2002	2002		[$12.5 million]	[$23.4 million]	$12.5 million	21078145	"""$23,367,586 """
b1107	w1823	o13485	antz	antz	antz	1998	1998	1998	[$42]	[$171.8 million]	$105 million	90757863	"""$171,757,863 """
b1111	w1827	o2027	any given sunday	any given sunday	any given sunday	1999	1999	1999	[$55 million]	[$100.2 million]	$55 million	75530832	"""$100,230,832 """
b1114	w1842	o9627	anything else	anything else	anything else	2003	2003	2003	[$18 million]	"""[$13,585,075]"""	$18 million	3212310	"""$13,585,075 """
b1116	w1851		anywhere but here	anywhere but here 		1999	1999		[$23 million]	[$23.6 million]	$23 million	18670401	"""$23,631,929 """
b1125	w1885	o20213	apocalypto	apocalypto	apocalypto	2006	2006	2006	[$40 million]	[$120.7 million]	$40 million	50866635	"""$120,654,337 """
b1129	w1894		appaloosa	appaloosa 		2008	2008		[$20 million]	"""[$27,665,851]"""	$20 million	20211394	"""$27,665,851 """
b1143	w1930	o3652	aqua teen hunger force colon movie film for theaters	aqua teen hunger force colon movie film for theaters	aqua teen hunger force colon movie film for theaters	2007	2007	2007	"""[$750,000]"""	[$5.5 million]	"""$750,000 """	5520368	
b1145	w1932		aquamarine	aquamarine 		2006	2006		[$12 million]	"""[$23,006,849]"""	$12 million	18597342	"""$23,006,849 """
b1161	w1974		are we there yet?	are we there yet? 		2005	2005		[$32 million]	[$97.9 million]	$32 million	82674398	"""$97,918,663 """
b1171	w2027	o2028	arlington road	arlington road	arlington road	1999	9-Jul	1999	[$31 million]	[$41.1 million]	$31 million	24756177	"""$41,067,311 """
b1176	w2034		armored	armored 		2009	2009		[$20 million]	"""[$22,942,221]"""	$20 million	15988876	"""$22,942,221 """
b1184	w2050		around the world in 80 days	around the world in 80 days (2004 film)		2004	2004		[$110 million]	[$75 million]	$110 million	24008137	"""$72,178,895 """
b1186	w2061		arrival	arrival 		2016	2016		[$47 million]	[$198 million]	$47 million	100546139	"""$198,024,964 """
b1197	w2097		arthur (2011)	arthur (2011 film)		2011	2011		[$40 million]	"""[$45,735,397]"""	$40 million	33035397	"""$45,735,397 """
b1201	w2099	o20216	arthur and the invisibles	arthur and the invisibles	arthur and the invisibles	2006	2006	2006	[]	"""[$107,944,236]"""	$86 million	15132763	"""$107,944,236 """
b1208	w2126	o6370	as good as it gets	as good as it gets	as good as it gets	1997	1997	1997	[$50 million]	"""[$314,178,011]"""	$50 million	148478011	"""$314,178,011 """
b1224	w2163		assassin's creed	assassin's creed 		2016	2016		[$125 million]	[$241.4 million]	$125 million	54647948	"""$240,742,399 """
b1229	w2170		assassins	assassins 		1995	1995		[$50 million]	[$30.3 million (US)]	$50 million	30303072	
b1230	w2178		assault on precinct 13	assault on precinct 13 (2005 film)		2005	2005		[$30 million]	[$35.3 million]	$30 million	20040895	"""$35,294,470 """
b1235	w2194		astro boy	astro boy 		2009	2009		[$65 million]	[$41.6 million]	$65 million	19551067	"""$39,886,986 """
b1241	w2216		at first sight	at first sight (1999 film)		1999	1999		[$60 million]	"""[$22,365,133]"""	$60 million	22365133	
b1246	w2257	o19968	atlantis: the lost empire	atlantis: the lost empire	atlantis: the lost empire	2001	2001	2001	[$90â120 million]	[$186.1 million]	$120 million	84056472	"""$186,053,725 """
b1248	w2262	o2450	atlas shrugged: part i	atlas shrugged: part i	atlas shrugged: part i	2011	2011	2011	[$20 million]	"""[$4,627,375]"""	$20 million	4627375	
