omdb_movie_id,genres,cluster
1,Musical|Romance|Comedy,5
2,Comedy,5
3,Comedy|Short,3
4,Mystery|Romance|Crime,0
5,Romance|Comedy|Drama,2
6,War|Drama|Romance,2
7,Comedy|Romance,5
8,Drama,2
9,Drama,2
10,Animation|Short,3
11,Crime|Romance,0
12,Drama|Romance,2
13,Short|Comedy|Family,3
14,Musical|Short|Comedy,3
15,Romance|Crime|Mystery,0
16,Romance|Adventure,0
17,Short|Comedy|Animation,3
18,Animation|Short|Comedy,3
19,Comedy|Animation|Short,3
20,Short|Family|Animation,3
21,Short|Comedy|Animation,3
22,Comedy|Animation|Short,3
23,Short|Comedy|Animation,3
24,Romance|Drama,2
25,Short|Comedy|Animation,3
26,Mystery,0
27,Crime|Drama,2
28,Family|Animation|Short,3
29,Musical|Short|Comedy,3
30,Animation|Short|Music,3
31,Short|Family|Animation,3
32,Animation|Short|Family,3
33,Animation|Short|Family,3
34,Short|Family|Animation,3
35,Drama,2
36,Family|Animation|Short,3
37,Short|Family|Animation,3
38,Animation|Short|Family,3
39,Short|Comedy|Animation,3
40,Drama|Comedy|Crime,2
41,Comedy|Short,3
42,Comedy,5
43,Romance|War|Drama,2
44,Drama,2
45,Mystery,0
46,Comedy,5
47,Drama,2
48,Adventure,0
49,Romance|Comedy|Drama,2
50,Comedy|Short,3
51,Sport|Drama,2
52,Comedy,5
53,Drama,2
54,Mystery,0
55,Musical|Romance|Comedy,5
56,Western,1
57,Comedy,5
58,Romance|Mystery,0
59,Drama|Romance|Comedy,2
60,Comedy|Drama,2
61,Short|Comedy|Music,3
62,Comedy|Drama,2
63,Sport|Comedy|Romance,5
64,Drama|Romance,2
65,War|Drama|Romance,2
66,Drama|Comedy,2
67,Music|Romance|Comedy,5
68,Drama,2
69,Animation|Family|Comedy,3
70,Western,1
71,Family|Comedy|Short,3
72,Animation|Short,3
73,Drama|Action|Adventure,0
74,Musical|Romance|Comedy,5
75,Musical|Romance|Comedy,5
76,Comedy|Family|Short,3
77,Mystery|Drama,2
78,Drama,2
79,Fantasy|Romance|Drama,2
80,Western,1
81,Drama,2
82,Comedy,5
83,Fantasy|Comedy|Family,5
84,Crime|Mystery|Comedy,5
85,Comedy,5
86,Short|Music,3
87,Musical|Romance,0
88,Animation|Short,3
89,Musical|Comedy|Drama,2
90,Romance|Comedy|Drama,2
91,Mystery|Western|Action,1
92,Western,1
93,Animation|Short,3
94,Comedy,5
95,Romance|Adventure,0
96,Drama|War|Romance,2
97,Short|Comedy,3
98,Musical,0
99,Drama|Romance,2
100,Comedy,5
101,Comedy,5
102,Comedy|Drama,2
103,Romance|Comedy,5
104,Romance|Drama,2
105,Comedy|Musical|Short,3
106,Drama,2
107,Comedy|Romance,5
108,Short|Comedy,3
109,Musical|Romance,0
110,Drama|Romance,2
111,Drama,2
112,Crime|Drama,2
113,Romance|Comedy|Drama,2
114,Musical|Romance|Comedy,5
115,Animation|Short|Family,3
116,Drama|Romance,2
117,Comedy|Animation|Family,3
118,Comedy,5
119,Short|Comedy|Animation,3
120,Sport|Crime|Drama,2
121,Western,1
122,War|Adventure,0
123,Short|Animation,3
124,Drama|Romance|Comedy,2
125,Drama|Romance|Crime,2
126,Comedy,5
127,Comedy|Drama|Adventure,2
128,Crime|Drama,2
129,Western,1
130,Drama,2
131,Drama|Short,2
132,Drama|Comedy,2
133,Drama|Action|Crime,2
134,Romance|Drama,2
135,Drama,2
136,Comedy,5
137,Sci-Fi|War|Drama,2
138,Short|Animation,3
139,Short|Comedy,3
140,Short,3
141,Comedy|Short,3
142,Family|Musical|Comedy,5
143,Comedy|Animation|Short,3
144,Animation|Short|Family,3
145,Short|Comedy,3
146,Short|Comedy,3
147,Drama|Romance|Crime,2
148,Adventure|Drama|Action,0
149,Short|Comedy,3
150,Musical|Drama,2
151,Animation|Short,3
152,Adventure|Romance|Comedy,5
153,Mystery,0
154,Horror|Crime,6
155,Short|Comedy|Family,3
156,Musical,0
157,Drama|Romance,2
158,Thriller|Horror|Mystery,6
159,Musical|Short|Comedy,3
160,Mystery|Thriller|Horror,6
161,Drama,2
162,Comedy,5
163,Drama,2
164,Comedy|Romance,5
165,Romance|Comedy|Drama,2
166,Short|Animation,3
167,Drama,2
168,Drama|Crime,2
169,Western,1
170,Drama|Crime,2
171,Animation|Short,3
172,Short|Comedy,3
173,Romance|Comedy,5
174,Crime|Drama|Comedy,2
175,War|Comedy,5
176,Romance|Comedy,5
177,Romance|Comedy,5
178,Romance|Drama,2
179,Western|Music|Romance,1
180,Musical|Short|Comedy,3
181,Western,1
182,Western,1
183,Action|Drama|Romance,2
184,Comedy,5
185,Comedy,5
186,Drama|Sport,2
187,Comedy|Romance|Western,5
188,Comedy|Animation|Short,3
189,Romance|Drama,2
190,Horror|Mystery|Drama,6
191,Drama,2
192,Animation|Short,3
193,History|Comedy|Drama,2
194,Drama|Romance,2
195,Comedy|Drama,2
196,Romance|Action|Drama,2
197,Short|Family|Animation,3
198,Romance|Drama,2
199,Musical|Short|Comedy,3
200,Romance|Western,1
201,Comedy,5
202,Music|Comedy|Short,3
203,Crime|Adventure,0
204,Comedy|Drama|Action,2
205,Western|Romance,1
206,Drama|Crime,2
207,Comedy,5
208,Drama|Romance|War,2
209,Mystery|Crime|Drama,2
210,Drama|Romance|Crime,2
211,Western,1
212,Drama,2
213,Adventure|Action,0
214,Mystery,0
215,Comedy|Short,3
216,Action|Adventure|Drama,0
217,Animation|Short,3
218,War|Drama|Romance,2
219,Western,1
220,Mystery|Romance,0
221,Comedy,5
222,Drama|Romance,2
223,Comedy|Musical,5
224,Drama|Romance|Thriller,2
225,Western|Action|Adventure,0
226,Comedy|Short,3
227,Drama|Crime,2
228,Drama|Romance,2
229,Drama|History,2
230,Romance|Comedy|Drama,2
231,Comedy|Family|Short,3
232,Comedy,5
233,Mystery,0
234,Western,1
235,Romance|Drama,2
236,Animation|Short,3
237,Drama|Crime,2
238,Western,1
239,Romance|Crime|Drama,2
240,Comedy|Animation|Short,3
241,Comedy|Short,3
242,Romance|Drama,2
243,Adventure|Action,0
244,Drama,2
245,Adventure|Action,0
246,Crime|Romance|Comedy,5
247,Action|Drama,2
248,Romance|Drama,2
249,History|Romance|Drama,2
250,Comedy|Animation|Short,3
251,Comedy|Animation|Short,3
252,Mystery|Thriller|Drama,2
253,Crime|Drama,2
254,Romance|Crime,0
255,Comedy|Fantasy|Adventure,5
256,Drama,2
257,Drama|Comedy,2
258,Western,1
259,Western|Comedy,1
260,Western,1
261,Mystery|Drama|Horror,6
262,Comedy,5
