key_bom,key_wiki,key_omdb,title,year,budget,gross,revenue
b27,w123,,"""10,000 bc """,2008,105000000.0,269784201.0,1.5693733428571428
b38,w299,o10558,102 dalmatians,2000,85000000.0,183611771.0,1.1601384823529413
b48,w147,,12 years a slave ,2013,20000000.0,187733202.0,8.3866601
b50,w302,o7878,127 hours,yes,18000000.0,60738797.0,2.374377611111111
b55,w160,,13 hours: the secret soldiers of benghazi,2016,50000000.0,69411370.0,0.3882274
b62,w338,,1408,2007,25000000.0,131998242.0,4.27992968
b63,w339,o7430,1492: conquest of paradise,8-Oct,47000000.0,7191399.0,-0.8469915106382979
b66,w177,o19945,15 minutes,2001,60000000.0,56359980.0,-0.060667
b100,w306,o2008,200 cigarettes,1999,6000000.0,6852450.0,0.142075
b110,w353,,2012,2009,200000000.0,769679473.0,2.848397365
b126,w201,o9866,22 jump street,2014,50000000.0,331333876.0,5.62667752
b131,w213,o16175,25th hour,2002,5000000.0,23928503.0,3.7857006
b132,w215,o16433,27 dresses,2008,30000000.0,160259319.0,4.3419773
b143,w24,o9867,3 days to kill,yes,28000000.0,52597999.0,0.8784999642857143
b154,w39,,3 strikes ,2000,3400000.0,9832166.0,1.8918135294117646
b160,w230,o2413,30 minutes or less,2011,28000000.0,40547440.0,0.44812285714285716
b179,w251,,42,2013,40000000.0,95020213.0,1.375505325
b194,w262,o21932,50 first dates,2004,75000000.0,196482882.0,1.61977176
b220,w95,,8 mile ,2002,41000000.0,242875078.0,4.923782390243902
b228,w99,,8mm ,1999,40000000.0,96618699.0,1.415467475
b233,w280,,90 minutes in heaven ,2015,5000000.0,4842699.0,-0.0314602
b236,w284,o9874,99 homes,2014,8000000.0,1411927.0,-0.823509125
b243,w3195,,a beautiful mind ,2001,58000000.0,313542341.0,4.405902431034483
b246,w3588,o2420,a better life,2011,10000000.0,1759252.0,-0.8240748
b262,w5704,o13472,a bug's life,1998,120000000.0,363258859.0,2.0271571583333334
b273,w7218,,a christmas carol (2009 film),2009,200000000.0,325286646.0,0.62643323
b277,w7329,o21934,a cinderella story,2004,19000000.0,70067909.0,2.687784684210526
b278,w7449,,a civil action ,1998,75000000.0,56709981.0,-0.24386692
b285,w8796,o5308,a cure for wellness,2016,40000000.0,26324272.0,-0.3418932
b297,w10592,,a dog's purpose ,2017,22000000.0,181249720.0,7.238623636363636
b330,w15353,o963,a good day to die hard,2013,92000000.0,304654182.0,2.3114585
b339,w16065,o9614,a guy thing,2003,20000000.0,17432163.0,-0.12839185
b344,w16515,o964,a haunted house,2013,2500000.0,60141683.0,23.0566732
b347,w17495,o18155,a history of violence,2005,32000000.0,60740827.0,0.89815084375
b361,w21073,o19954,a knight's tale,2001,65000000.0,117487473.0,0.8074995846153846
b368,w21761,o7434,a league of their own,1992,40000000.0,132440069.0,2.311001725
b384,w22967,o18157,a lot like love,2005,30000000.0,42886719.0,0.4295573
b387,w23822,o9616,a man apart,2003,36000000.0,44350926.0,0.23197016666666667
b403,w25059,,a midsummer night's dream (1999 film),1999,11000000.0,16071990.0,0.46109
b406,w25069,,a mighty heart ,2007,16000000.0,18935657.0,0.1834785625
b408,w25157,o9882,a million ways to die in the west,2014,40000000.0,87189756.0,1.1797439
b415,w25760,o9883,a most violent year,2014,20000000.0,12007070.0,-0.3996465
b423,w27221,,a nightmare on elm street (2010 film),2010,35000000.0,115664037.0,2.3046867714285715
b433,w29204,o18543,a perfect getaway,2009,14000000.0,22852638.0,0.6323312857142858
b479,w34385,,a simple plan ,1998,30000000.0,16316273.0,-0.45612423333333335
b483,w34462,o18545,a single man,2009,7000000.0,24964890.0,2.5664128571428573
b494,w35414,,a sound of thunder ,2005,80000000.0,11665465.0,-0.8541816875
b496,w35957,,a star is born (1954 film),1954,5019770.0,4335968.0,-0.13622177908549596
b516,w38209,,a thousand words ,2012,40000000.0,22044277.0,-0.448893075
b529,w40475,o5061,a very brady sequel,1996,12000000.0,21440752.0,0.7867293333333333
b530,w40479,o2426,a very harold & kumar 3d christmas,2011,19000000.0,35387212.0,0.8624848421052631
b534,w40803,,a walk among the tombstones ,2014,28000000.0,53181600.0,0.8993428571428571
b539,w40825,o16181,a walk to remember,2002,11800000.0,47494916.0,3.0249928813559324
b554,w391,o19956,a.i. artificial intelligence,2001,100000000.0,235926552.0,1.35926552
b567,w403,,abandon ,2002,25000000.0,12302219.0,-0.50791124
b579,w446,,about last night (2014 film),2014,12500000.0,49002684.0,2.92021472
b599,w483,o20196,accepted,2006,23000000.0,38505009.0,0.6741308260869565
b602,w518,o2248,ace ventura: pet detective,1994,15000000.0,107217396.0,6.1478264
b626,w607,,admission ,2013,13000000.0,18007317.0,0.38517823076923074
b657,w776,o975,after earth,2013,130000000.0,243843127.0,0.8757163615384616
b669,w802,o21944,after the sunset,2004,60000000.0,61347797.0,0.022463283333333334
b687,w848,o9620,agent cody banks,2003,28000000.0,58795814.0,1.0998505
b709,w885,,air force one ,1997,85000000.0,315156409.0,2.7077224588235294
b733,w947,,albino alligator,1997,6000000.0,339379.0,-0.9434368333333333
b734,w956,,alex cross ,2012,35000000.0,34588412.0,-0.011759657142857143
b765,w1051,,alien vs. predator ,2004,60000000.0,172544654.0,1.8757442333333334
b770,w1055,o18556,aliens in the attic,2009,45000000.0,57881056.0,0.2862456888888889
b783,w1073,o16184,all about the benjamins,2002,15000000.0,26306533.0,0.7537688666666666
b800,w1127,,all quiet on the western front (1930 film),1930,1200000.0,1500000.0,0.25
b813,w1145,,all the king's men (2006 film),2006,55000000.0,9450897.0,-0.8281655090909091
b828,w1193,,allied ,2016,85000000.0,119520023.0,0.40611791764705885
b829,w1210,,almost christmas ,2016,17000000.0,42487325.0,1.499254411764706
b830,w1211,o10569,almost famous,13-Sep,60000000.0,47383689.0,-0.21027185
b840,w1222,,aloha ,2015,37000000.0,26250020.0,-0.29054
b842,w1235,o983,alone yet not alone,2013,7000000.0,887851.0,-0.8731641428571428
b843,w1231,,alone in the dark (2005 film),2005,20000000.0,10442808.0,-0.4778596
b845,w1241,o21947,along came polly,2004,42000000.0,171963386.0,3.0943663333333333
b846,w1236,,along came a spider ,2001,60000000.0,105178561.0,0.7529760166666667
b857,w1272,,alvin and the chipmunks ,2007,60000000.0,361336633.0,5.022277216666667
b858,w1276,o2437,alvin and the chipmunks: chipwrecked,2011,75000000.0,342695435.0,3.569272466666667
b860,w1277,o18561,alvin and the chipmunks: the squeakquel,2009,75000000.0,443140005.0,4.9085334
b874,w1353,,amelia ,2009,40000000.0,19642013.0,-0.508949675
b883,w1367,o19959,america's sweethearts,2001,46000000.0,138191428.0,2.0041614782608694
b888,w1378,,american beauty (1999 film),1999,15000000.0,356296601.0,22.753106733333333
b896,w1402,o20203,american dreamz,21-Apr,17000000.0,16458459.0,-0.031855352941176474
b899,w1413,,american gangster ,2007,100000000.0,266465037.0,1.66465037
b909,w1440,o988,american hustle,2013,40000000.0,251171807.0,5.279295175
b923,w1468,o2022,american pie ,1999,11000000.0,235483004.0,20.40754581818182
b924,w1469,o19964,american pie 2,2001,30000000.0,287553595.0,8.585119833333334
b928,w1478,,american psycho ,2000,7000000.0,34266564.0,3.8952234285714287
b937,w1514,o8822,american ultra,2015,28000000.0,27139524.0,-0.030731285714285714
b939,w1522,o9624,american wedding,2003,55000000.0,231449203.0,3.208167327272727
b949,w1547,,amistad ,1997,36000000.0,44229441.0,0.22859558333333332
b973,w1387,o16447,an american carol,2008,20000000.0,7013191.0,-0.64934045
b975,w1430,o18170,an american haunting,2005,14000000.0,29612137.0,1.1151526428571428
b985,w11909,o10571,an everlasting piece,2000,14000000.0,75228.0,-0.9946265714285715
b995,w40052,o18171,an unfinished life,2005,30000000.0,18618284.0,-0.37939053333333334
b999,w1580,o21950,anacondas: the hunt for the blood orchid,2004,20000000.0,70992898.0,2.5496449
b1000,w1583,o16187,analyze that,2002,60000000.0,55003135.0,-0.08328108333333334
b1001,w1584,o2024,analyze this,1999,80000000.0,176885658.0,1.211070725
b1010,w1595,o992,anchorman 2: the legend continues,2013,50000000.0,173649015.0,2.4729803
b1011,w1596,o21951,anchorman: the legend of ron burgundy,2004,26000000.0,90574188.0,2.4836226153846153
b1028,w1648,,angel eyes ,2001,53000000.0,29715606.0,-0.4393281886792453
b1030,w1651,o1319,angel heart,1987,17000000.0,17185632.0,0.010919529411764706
b1034,w1670,,angela's ashes ,1999,50000000.0,13042112.0,-0.73915776
b1035,w1673,,angels & demons ,2009,150000000.0,485930816.0,2.2395387733333334
b1041,w1693,,anger management ,2003,75000000.0,195745823.0,1.6099443066666668
b1061,w1721,o2026,anna and the king,1999,92000000.0,113996937.0,0.23909714130434784
b1062,w1738,,annabelle ,2014,6500000.0,256873813.0,38.51904815384616
b1071,w1755,,annie (2014 film),2014,65000000.0,133821816.0,1.0587971692307692
b1073,w1757,o14512,annie hall,1977,4000000.0,38251425.0,8.56285625
b1090,w1800,o13697,another you,1991,17000000.0,2865916.0,-0.831416705882353
b1092,w1807,,ant-man ,2015,130000000.0,519311965.0,2.9947074230769233
b1106,w1822,,antwone fisher ,2002,12500000.0,23367586.0,0.86940688
b1107,w1823,o13485,antz,1998,105000000.0,171757863.0,0.6357891714285714
b1111,w1827,o2027,any given sunday,1999,55000000.0,100230832.0,0.8223787636363636
b1114,w1842,o9627,anything else,2003,18000000.0,13585075.0,-0.24527361111111112
b1116,w1851,,anywhere but here ,1999,23000000.0,23631929.0,0.02747517391304348
b1125,w1885,o20213,apocalypto,2006,40000000.0,120654337.0,2.016358425
b1129,w1894,,appaloosa ,2008,20000000.0,27665851.0,0.38329255
b1143,w1930,o3652,aqua teen hunger force colon movie film for theaters,2007,750000.0,5520368.0,6.360490666666666
b1145,w1932,,aquamarine ,2006,12000000.0,23006849.0,0.9172374166666667
b1161,w1974,,are we there yet? ,2005,32000000.0,97918663.0,2.05995821875
