index,key_bom,key_wiki,key_omdb,title,year,budget,gross,revenue,release_date,release_month,release_quarter,release_day_of_the_year,release_week_of_the_year,holiday_season,runtime,mpaa_rating,bom_awards,bom_awards_scr,actor_clean,director_clean,writer_clean,distributor_clean,composer_clean,cinematographer_clean,producer_clean,actor_score,director_score,writer_score,distributor_score,composer_score,cinematographer_score,producer_score
0,b27,w123,,"""10,000 bc """,2008,105000000.0,269784201.0,1.5693733428571428,2008-03-07 00:00:00,3.0,1.0,67.0,9.0,0.0,,3.0,,0.0,"['Steven Strait', 'Camilla Belle']",['Roland Emmerich'],"['Roland Emmerich', 'Harald Kloser']",['Warner Bros.'],"['Harald Kloser', 'Thomas Wander']",['Ueli Steiger'],"['Mark Gordon', 'Harald Kloser', 'Scott Mednick', 'Thomas Tull']",1.3434023408730158,5.600618833188852,3.1387466857142856,10192.334247628845,4.513844547902057,2.8457448256692643,28.806613150922665
1,,w364,o22747,"""6,000 enemies""",1939,204000.0,358000.0,0.7549019607843137,2039-06-09 00:00:00,6.0,2.0,160.0,23.0,0.0,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,,w14968,o6022,"""a girl, a guy and a gob""",1941,412000.0,848000.0,1.058252427184466,2041-03-14 00:00:00,3.0,1.0,73.0,10.0,0.0,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,,w960,,"""alexander and the terrible, horrible, no good, very bad day """,,28000000.0,101400000.0,2.6214285714285714,,,,,,,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,b739,,,"""alexander and the terrible, horrible, no good, very bad day""",,28000000.0,101379287.0,2.6206888214285717,,,,,,,,2.0,,0.0,"['Steve Carell', 'Jennifer Garner', 'Bella Thorne', 'Dylan Minnette', 'Megan Mullally', 'Jennifer Coolidge']",['Miguel Arteta'],['Rob Lieber'],['Buena Vista'],['Christophe Beck'],['Ellis W. Carter'],['Shawn Levy'],38.68560451908336,1.886922927579365,2.6206888214285717,7.158891728638755,8.169993830090558,9.82531371489898,1.9973286411602582
5,,w1226,o10453,"""aloha, bobby and rose""",1975,60000.0,35000000.0,582.3333333333334,1975-04-29 00:00:00,4.0,2.0,119.0,17.0,0.0,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,b1334,,,"""baby, it's you""",,3000000.0,1867792.0,-0.37740266666666666,,,,,,,,4.0,,0.0,['Rosanna Arquette'],[''],[''],['Paramount'],[''],['Michael Ballhaus'],[''],-0.6859468833333333,0.0,0.0,10058.271040349393,0.0,7.871738610304612,0.0
7,b1662,w3520,o15817,"""bert rigby, you're a fool""",24-Feb,7000000.0,75868.0,-0.9891617142857144,1989-02-24 00:00:00,2.0,1.0,55.0,8.0,1.0,,4.0,,0.0,['Anne Bancroft'],[''],[''],['Warner Bros.'],['Ralph Burns'],['Jan de Bont'],['George Shapiro'],7.430505646433133,0.0,0.0,10192.334247628845,16.119434002812664,5.377287458020234,-0.9891617142857144
8,b1778,w3865,o2465,"""big mommas: like father, like son""",2011,32000000.0,82686066.0,1.5839395625,2011-02-18 00:00:00,2.0,1.0,49.0,7.0,1.0,,3.0,,0.0,"['Martin Lawrence', 'Brandon T. Jackson', 'Portia Doubleday', 'Jessica Lucas', 'Ana Ortiz', 'Ken Jeong']",['John Whitesell'],"['Matthew Fogel', 'Don Rhymer']",['Fox'],['David Newman'],['Anthony B. Richmond'],['Arnon Milchan'],19.426029123512606,1.0992891752170868,4.242453062428636,7.210996848464946,3.171730579511995,1.9865380443059693,10.904205203286265
9,b2202,w5375,,"""bright lights, big city """,1988,,,0.0,1988-04-01 00:00:00,4.0,2.0,92.0,13.0,0.0,,4.0,,0.0,"['Michael J. Fox', 'Kiefer Sutherland']",[''],[''],['United Artists'],"['Donald Fagen', 'Rob Mounsey']",['Gordon Willis'],"['Gerald R. Molen', 'Sydney Pollack']",21.86751555047809,0.0,0.0,11.766353848867976,11.0,5.980598433754208,27.945004837702825
