bom_budget,bom_domestic_gross,bom_title,bom_worldwide_revenue,key_bom,key_omdb,key_wiki,omdb_title,wiki_budget,wiki_gross,wiki_title,year_bom_format,year_omdb_format,year_wiki_format,budget,gross
14000000.0,75228.0,an everlasting piece,0.0,b985,o10571,w11909,an everlasting piece,14000000.0,75228.0,an everlasting piece,2000.0,2000.0,2000,14000000.0,75228.0
7000000.0,27816.0,best laid plans,0.0,b1671,,w3536,,7000000.0,27816.0,best laid plans (1999 film),1999.0,,1999,7000000.0,27816.0
1000000.0,13302.0,camp x-ray,13302.0,b2410,,w6174,,1000000.0,60581.0,camp x-ray ,2014.0,,2014,1000000.0,13302.0
3000000.0,40361.0,committed,0.0,b2982,,w7906,,3000000.0,40361.0,committed ,2000.0,,2000,3000000.0,40361.0
2300000.0,49620.0,curdled,0.0,b3199,,w8790,,2300000.0,49620.0,curdled ,1996.0,,1996,2300000.0,49620.0
300000.0,10514.0,fighting tommy riley,0.0,b4479,o22022,w12891,fighting tommy riley,300000.0,10514.0,fighting tommy riley,2005.0,2004.0,2004,300000.0,10514.0
8900000.0,50136.0,heist (2015),50136.0,b5633,,w16847,,8900000.0,4099999.9999999995,heist (2015 film),2015.0,,2015,8900000.0,50136.0
400000.0,89134.0,home movies,0.0,b5840,,w17743,,400000.0,89134.0,home movies ,1980.0,,1980,400000.0,89134.0
10000000.0,9069.0,janky promoters,0.0,b6551,,w19913,,10000000.0,9069.0,janky promoters,2009.0,,2009,10000000.0,9069.0
12000000.0,36006.0,mozart and the whale,84447.0,b8496,o18337,w25904,mozart and the whale,12000000.0,84447.0,mozart and the whale,2006.0,2005.0,2005,12000000.0,84447.0
2300000.0,29384.0,redemption road,0.0,b10221,o8127,w31287,redemption road,2300000.0,29384.0,redemption road,2011.0,2010.0,2010,2300000.0,29384.0
350000.0,50090.0,royal kill,0.0,b10540,o18835,w32401,royal kill,350000.0,50090.0,royal kill,2009.0,2009.0,10-Apr,350000.0,50090.0
1000000.0,45724.0,safe men,0.0,b10632,o13607,w32613,safe men,1000000.0,45724.0,safe men,1998.0,1998.0,7-Aug,1000000.0,45724.0
5500000.0,28468.0,salvation boulevard,0.0,b10664,o2647,w32724,salvation boulevard,5500000.0,28468.0,salvation boulevard,2011.0,2011.0,2011,5500000.0,28468.0
6000000.0,52132.0,"""surfer, dude""",52132.0,b11905,o16739,w36920,"""surfer, dude""",6000000.0,52132.0,"""surfer, dude""",2008.0,2008.0,2008,6000000.0,52132.0
6000000.0,30471.0,the boondock saints,0.0,b12539,,w4856,,6000000.0,30471.0,the boondock saints,2000.0,,1999,6000000.0,30471.0
