key_bom,key_wiki,key_omdb,title,year,budget,gross,revenue,year_wiki,year_bom
b27,w123,,"""10,000 bc """,2008,105000000.0,269784201.0,1.5693733428571428,[2008],7-Mar-08
b38,w299,o10558,102 dalmatians,2000,85000000.0,183611771.0,1.1601384823529413,2000,22-Nov-00
b48,w147,,12 years a slave ,2013,20000000.0,187733202.0,8.3866601,"""[2013, 08, 30, Telluride Film Festival, 2013, 11, 08, United States, 2014, 01, 10, United Kingdom]""",18-Oct-13
b50,w302,o7878,127 hours,yes,18000000.0,60738797.0,2.3743776111111106,yes,5-Nov-10
b55,w160,,13 hours: the secret soldiers of benghazi,2016,50000000.0,69411370.0,0.38822740000000006,"""[2016, 01, 12, AT&T Stadium, 2016, 01, 15, United States]""",15-Jan-16
b62,w338,,1408,2007,25000000.0,131998242.0,4.27992968,"""[2007, 06, 22]""",22-Jun-07
b63,w339,o7430,1492: conquest of paradise,8-Oct,47000000.0,7191399.0,-0.8469915106382979,8-Oct,9-Oct-92
b66,w177,o19945,15 minutes,2001,60000000.0,56359980.0,-0.060667,2001,9-Mar-01
b100,w306,o2008,200 cigarettes,1999,6000000.0,6852450.0,0.142075,1999,26-Feb-99
b110,w353,,2012,2009,200000000.0,769679473.0,2.848397365,"""[2009, 11, 13]""",13-Nov-09
b126,w201,o9866,22 jump street,2014,50000000.0,331333876.0,5.62667752,2014,13-Jun-14
b131,w213,o16175,25th hour,2002,5000000.0,23928503.0,3.7857006,2002,19-Dec-02
b132,w215,o16433,27 dresses,2008,30000000.0,160259319.0,4.3419773,2008,18-Jan-08
b143,w24,o9867,3 days to kill,yes,28000000.0,52597999.0,0.8784999642857143,yes,21-Feb-14
b154,w39,,3 strikes ,2000,3400000.0,9832166.0,1.8918135294117648,"""[2000, 03, 01]""",1-Mar-00
b160,w230,o2413,30 minutes or less,2011,28000000.0,40547440.0,0.4481228571428572,2011,12-Aug-11
b179,w251,,42,2013,40000000.0,95020213.0,1.375505325,"""[2013, 04, 12, United States]""",12-Apr-13
b194,w262,o21932,50 first dates,2004,75000000.0,196482882.0,1.61977176,2004,13-Feb-04
b220,w95,,8 mile ,2002,41000000.0,242875078.0,4.923782390243902,"""[2002, 11, 08]""",8-Nov-02
b228,w99,,8mm ,1999,40000000.0,96618699.0,1.415467475,"""[1999, 02, 19, BIFF, 1999, 02, 26, US, 1999, 04, 01, Germany]""",26-Feb-99
b233,w280,,90 minutes in heaven ,2015,5000000.0,4842699.0,-0.0314602,"""[2015, 09, 11]""",11-Sep-15
b236,w284,o9874,99 homes,2014,8000000.0,1411927.0,-0.823509125,2014,25-Sep-15
b243,w3195,,a beautiful mind ,2001,58000000.0,313542341.0,4.405902431034483,"""[2001, 12, 13, Beverly Hills, premiere, 2001, 12, 21, United States]""",21-Dec-01
b246,w3588,o2420,a better life,2011,10000000.0,1759252.0,-0.8240748,2011,24-Jun-11
b262,w5704,o13472,a bug's life,1998,120000000.0,363258859.0,2.027157158333333,1998,20-Nov-98
b273,w7218,,a christmas carol (2009 film),2009,200000000.0,325286646.0,0.62643323,"""[2009, 11, 03, United Kingdom, 2009, 11, 06, United States]""",6-Nov-09
b277,w7329,o21934,a cinderella story,2004,19000000.0,70067909.0,2.6877846842105257,2004,16-Jul-04
b278,w7449,,a civil action ,1998,75000000.0,56709981.0,-0.24386692,"""[1998, 12, 25]""",25-Dec-98
b285,w8796,o5308,a cure for wellness,2016,40000000.0,26324272.0,-0.3418932,2016,17-Feb-17
b297,w10592,,a dog's purpose ,2017,22000000.0,181249720.0,7.238623636363636,"""[2017, 27]""",27-Jan-17
b330,w15353,o963,a good day to die hard,2013,92000000.0,304654182.0,2.3114585,2013,14-Feb-13
b339,w16065,o9614,a guy thing,2003,20000000.0,17432163.0,-0.12839185,2003,17-Jan-03
b344,w16515,o964,a haunted house,2013,2500000.0,60141683.0,23.0566732,2013,11-Jan-13
b347,w17495,o18155,a history of violence,2005,32000000.0,60740827.0,0.89815084375,2005,23-Sep-05
b361,w21073,o19954,a knight's tale,2001,65000000.0,117487473.0,0.8074995846153846,2001,11-May-01
b368,w21761,o7434,a league of their own,1992,40000000.0,132440069.0,2.311001725,1992,1-Jul-92
b384,w22967,o18157,a lot like love,2005,30000000.0,42886719.0,0.42955730000000003,2005,22-Apr-05
b387,w23822,o9616,a man apart,2003,36000000.0,44350926.0,0.2319701666666667,2003,4-Apr-03
b403,w25059,,a midsummer night's dream (1999 film),1999,11000000.0,16071990.0,0.46108999999999994,"""[1999, 26, Premiere, 1999, 14, USA]""",14-May-99
b406,w25069,,a mighty heart ,2007,16000000.0,18935657.0,0.1834785625,"""[2007, 22]""",22-Jun-07
b408,w25157,o9882,a million ways to die in the west,2014,40000000.0,87189756.0,1.1797438999999998,2014,30-May-14
b415,w25760,o9883,a most violent year,2014,20000000.0,12007070.0,-0.3996465,2014,31-Dec-14
b423,w27221,,a nightmare on elm street (2010 film),2010,35000000.0,115664037.0,2.3046867714285715,"""[2010, 04, 27, Hollywood premiere, 2010, 04, 30]""",30-Apr-10
b433,w29204,o18543,a perfect getaway,2009,14000000.0,22852638.0,0.6323312857142858,2009,7-Aug-09
b479,w34385,,a simple plan ,1998,30000000.0,16316273.0,-0.4561242333333334,"""[1998, 11, TIFF, 1998, 12, 11, limited]""",11-Dec-98
b483,w34462,o18545,a single man,2009,7000000.0,24964890.0,2.5664128571428573,2009,11-Dec-09
b494,w35414,,a sound of thunder ,2005,80000000.0,11665465.0,-0.8541816875,"""[2005, United States]""",2-Sep-05
b496,w35957,,a star is born (1954 film),1954,5019770.0,4335968.0,-0.13622177908549596,"""[1954, 09, 29]""",29-Sep-54
b516,w38209,,a thousand words ,2012,40000000.0,22044277.0,-0.448893075,[2012],9-Mar-12
b529,w40475,o5061,a very brady sequel,1996,12000000.0,21440752.0,0.7867293333333333,1996,23-Aug-96
b530,w40479,o2426,a very harold & kumar 3d christmas,2011,19000000.0,35387212.0,0.8624848421052631,2011,4-Nov-11
b534,w40803,,a walk among the tombstones ,2014,28000000.0,53181600.0,0.8993428571428571,"""[2014, 09, 19]""",19-Sep-14
b539,w40825,o16181,a walk to remember,2002,11800000.0,47494916.0,3.0249928813559324,2002,25-Jan-02
b554,w391,o19956,a.i. artificial intelligence,2001,100000000.0,235926552.0,1.35926552,2001,29-Jun-01
b567,w403,,abandon ,2002,25000000.0,12302219.0,-0.50791124,"""[2002, 10, 18]""",18-Oct-02
b579,w446,,about last night (2014 film),2014,12500000.0,49002684.0,2.92021472,"""[2014, 02, 11, PAFF, 2014, 02, 14, United States]""",14-Feb-14
b599,w483,o20196,accepted,2006,23000000.0,38505009.0,0.6741308260869565,2006,18-Aug-06
b602,w518,o2248,ace ventura: pet detective,1994,15000000.0,107217396.0,6.1478264000000005,1994,4-Feb-94
b626,w607,,admission ,2013,13000000.0,18007317.0,0.3851782307692307,"""[2013, 03, 22]""",22-Mar-13
b657,w776,o975,after earth,2013,130000000.0,243843127.0,0.8757163615384616,2013,31-May-13
b669,w802,o21944,after the sunset,2004,60000000.0,61347797.0,0.02246328333333333,2004,12-Nov-04
b687,w848,o9620,agent cody banks,2003,28000000.0,58795814.0,1.0998504999999998,2003,14-Mar-03
b709,w885,,air force one ,1997,85000000.0,315156409.0,2.7077224588235294,"""[1997, 21, Century City, 1997, 25, United States]""",25-Jul-97
b733,w947,,albino alligator,1997,6000000.0,339379.0,-0.9434368333333332,"""[1997, 17]""",17-Jan-97
b734,w956,,alex cross ,2012,35000000.0,34588412.0,-0.011759657142857144,"""[2012, 10, 19]""",19-Oct-12
b765,w1051,,alien vs. predator ,2004,60000000.0,172544654.0,1.8757442333333332,"""[2004, 12, International, 2004, 13, United States]""",13-Aug-04
b770,w1055,o18556,aliens in the attic,2009,45000000.0,57881056.0,0.2862456888888889,2009,31-Jul-09
