key_bom,genre_cluster,bom_genre
b10,,Romance
b24,,Romantic Comedy
b27,,Period Adventure
b38,5.0,Family Comedy
b39,,Crime Drama
b48,,Drama
b50,2.0,Drama
b54,,Fantasy Comedy
b55,,Drama
b62,,Horror
b66,2.0,Thriller
b80,,Period Comedy
b89,,Action
b90,,Action Comedy
b110,,Action Drama
b119,,Foreign
b121,,Drama
b122,,Drama
b123,,Action Comedy
b124,,Comedy
b126,5.0,Action Comedy
b131,2.0,Crime Drama
b132,5.0,Romantic Comedy
b133,,Comedy / Drama
b134,,Horror
b143,2.0,Action Thriller
b159,,Horror
b160,5.0,Action Comedy
b162,,Period Action
b163,,Action Comedy
b164,,Period Action
b174,,Western
b185,,Action Drama
b191,,Action Drama
b194,5.0,Romantic Comedy
b197,,Comedy / Drama
b220,,Music Drama
b228,,Thriller
b229,,Animation
b236,2.0,Thriller
b243,,Period Drama
b246,2.0,Drama
b262,5.0,Animation
b273,,Animation
b277,5.0,Family Comedy
b285,6.0,Horror
b297,,Comedy / Drama
b306,2.0,Drama / Thriller
b330,0.0,Action
b334,,Romance
b339,5.0,Romantic Comedy
b345,,Horror Comedy
b347,2.0,Crime Drama
b352,,Drama
b361,0.0,Period Action
b368,2.0,Sports Drama
b384,2.0,Romantic Comedy
b387,2.0,Action
b406,,War Drama
b408,5.0,Western Comedy
b415,2.0,Drama / Thriller
b423,,Horror
b433,0.0,Thriller
b452,,Foreign
b483,2.0,Drama
b494,,Sci-Fi Horror
b516,,Comedy / Drama
b530,5.0,Comedy
b531,,Foreign
b534,,Drama
b539,2.0,Romance
b554,2.0,Sci-Fi
b567,,Thriller
b568,,Action
b579,,Romantic Comedy
b582,,Comedy / Drama
b584,,Comedy / Drama
b589,,Horror Thriller
b599,5.0,Comedy
b602,5.0,Comedy
b610,,Thriller
b619,,Comedy
b626,,Comedy / Drama
b644,,Sci-Fi Action
b657,0.0,Sci-Fi
b669,5.0,Romantic Thriller
b687,0.0,Family Adventure
b688,,Family Adventure
b695,,Historical Drama
b709,,Action Thriller
b720,,Drama
b721,2.0,Drama
b734,,Crime Thriller
b736,,Romantic Comedy
b738,,Historical Epic
b739,,Family
b743,,Comedy / Drama
b746,,Sports Drama
b752,,Family Adventure
b755,,Family Adventure
b757,,Sci-Fi Horror
b758,,Sci-Fi Horror
b763,6.0,Sci-Fi Horror
b765,,Sci-Fi Horror
b770,5.0,Family Adventure
b783,5.0,Action Comedy
b810,,Unknown
