index,key_bom,key_wiki,key_omdb,title,year,budget,gross,revenue,release_date,release_month,release_quarter,release_day_of_the_year,release_week_of_the_year,holiday_season,runtime,mpaa_rating,wiki_editing,wiki_studio,actor,director,writer,distributor,composer,cinematographer,producer
0,b27,w123,,"""""""10,000 bc """"""",2008,105000000.0,269800000.0,1.5695238095238095,2008-03-07 00:00:00,3.0,1.0,67.0,9.0,0.0,109.0,3.0,[Alexander Berner],"""[Legendary Pictures, Centropolis Entertainment]""","""['Steven Strait', 'Camilla Belle']""",['Roland Emmerich'],"""['Roland Emmerich', 'Harald Kloser']""",Warner Bros.,"""['Harald Kloser', 'Thomas Wander']""",[Ueli Steiger],"""['Mark Gordon', 'Harald Kloser', 'Scott Mednick', 'Thomas Tull']"""
1,,w364,o22747,"""""""6,000 enemies""""""",1939,204000.0,358000.0,0.7549019607843137,2039-06-09 00:00:00,6.0,2.0,160.0,23.0,0.0,,,[Conrad A. Nervig],,,,,,,,
2,,w14968,o6022,"""""""a girl, a guy and a gob""""""",1941,412000.0,848000.0,1.058252427184466,2041-03-14 00:00:00,3.0,1.0,73.0,10.0,0.0,,,[George Crone],,,,,,,,
3,,w960,,"""""""alexander and the terrible, horrible, no good, very bad day """"""",,28000000.0,101400000.0,2.6214285714285714,,,,,,,,,[Pamela Martin],"""[Walt Disney Pictures, 21 Laps Entertainment, The Jim Henson Company]""",,,,,,,
4,,w1226,o10453,"""""""aloha, bobby and rose""""""",1975,60000.0,35000000.0,582.3333333333334,1975-04-29 00:00:00,4.0,2.0,119.0,17.0,0.0,,,[Danford B. Greene],[Cine Artists International],,,,,,,
5,b1662,w3520,o15817,"""""""bert rigby, you're a fool""""""",24-Feb,7000000.0,75868.0,-0.9891617142857144,1989-02-24 00:00:00,2.0,1.0,55.0,8.0,1.0,94.0,4.0,[Bud Molin],[Lorimar],['Anne Bancroft'],,,Warner Bros.,[Ralph Burns],[Jan de Bont],[George Shapiro]
6,b1778,w3865,o2465,"""""""big mommas: like father, like son""""""",2011,32000000.0,83900000.0,1.621875,2011-02-18 00:00:00,2.0,1.0,49.0,7.0,1.0,107.0,3.0,[Priscilla Nedd-Friendly],"""[Regency Enterprises, New Regency, Friendly Films, Runteldat Entertainment, The Collective, Dune Entertainment]""","""['Martin Lawrence', 'Brandon T. Jackson', 'Portia Doubleday', 'Jessica Lucas', 'Ana Ortiz', 'Ken Jeong*']""",['John Whitesell'],"""['Matthew Fogel', 'Don Rhymer']""",Fox,[David Newman],[Anthony B. Richmond],['Arnon Milchan']
7,b3073,w8228,,"""""""corrina, corrina """"""",1994,22000000.0,20164171.0,-0.08344677272727273,1994-08-12 00:00:00,8.0,3.0,224.0,32.0,0.0,115.0,2.0,[Lee Percy],[Turner Pictures],"""['Whoopi Goldberg', 'Ray Liotta']""",['Jessie Nelson'],,New Line,['Thomas Newman'],[Bruce Surtees],"""['Bernie Goldmann', 'Steve Tisch']"""
8,b3123,w8498,o2497,"""""""crazy, stupid, love""""""",2011,50000000.0,142900000.0,1.858,2011-07-29 00:00:00,7.0,3.0,210.0,30.0,0.0,118.0,3.0,[Lee Haxall],"""[Carousel Productions, Di Novi Pictures]""","""['Analeigh Tipton', 'Steve Carell', 'Ryan Gosling', 'Julianne Moore', 'Emma Stone', 'Marisa Tomei', 'Kevin Bacon', 'John Carroll Lynch', 'Josh Groban', 'Joey King', 'Crystal Reed*']""","""['Glenn Ficarra', 'John Requa']""",['Dan Fogelman'],Warner Bros.,"""['Christophe Beck', 'Nick Urata']""",[Andrew Dunn],"""['Steve Carell', 'Denise Di Novi']"""
9,b3171,w8677,o10607,"""""""crouching tiger, hidden dragon""""""",2000,17000000.0,213500000.0,11.558823529411766,2000-12-08 00:00:00,12.0,4.0,343.0,49.0,0.0,120.0,3.0,[Tim Squyres],,['Zhang Ziyi'],['Ang Lee'],"""['James Schamus', 'Kuo Jung Tsai']""",Sony Classics,['Tan Dun'],[Peter Pau],"""[Bill Kong, Hsu Li-kong, Ang Lee]"""
10,b3186,w8751,,"""""""cry, the beloved country (1995 film)""""""",1995,4000000.0,676525.0,-0.83086875,1995-12-15 00:00:00,12.0,4.0,349.0,50.0,0.0,106.0,3.0,[David Heitner],,"""['James Earl Jones', 'Richard Harris']""",,,Miramax,[John Barry],[Paul Gilpin],"""[Anant Singh, Harry Alan Towers]"""
11,,w9032,o1527,"""""""dance, fools, dance""""""",1931,234000.0,1268000.0,4.418803418803419,2031-02-07 00:00:00,2.0,1.0,38.0,5.0,0.0,,,[George Hively],,,,,,,,
12,,w10344,o11442,"""""""dirty mary, crazy larry""""""",1974,1140000.0,28400000.0,23.91228070175439,1974-05-17 00:00:00,5.0,2.0,137.0,19.0,0.0,92.0,2.0,[Christopher Holmes],[Academy Pictures],,,,,,,
13,b3890,w11190,o10624,"""""""dude, where's my car?""""""",2000,13000000.0,73200000.0,4.630769230769231,2000-12-15 00:00:00,12.0,4.0,350.0,50.0,0.0,82.0,3.0,[Kimberly Ray],[Alcon Entertainment],"""['Ashton Kutcher', 'Jennifer Garner']""",,,Fox,['David Kitay'],[Robert M. Stevens],"""['Broderick Johnson', 'Andrew A. Kosove']"""
14,,w11373,,"""""""east side, west side (1949 film)""""""",,1754000.0,2540000.0,0.4481185860889396,,,,,,,,,[Harold F. Kress],[Metro-Goldwyn-Mayer],,,,,,,
15,b3982,w11466,o12452,"""""""edison, the man""""""",1940,893000.0,1787000.0,1.0011198208286674,2040-05-10 00:00:00,5.0,2.0,131.0,19.0,0.0,107.0,6.0,[Fredrick Y. Smith],,"""['Spencer Tracy', 'Rita Johnson', 'Lynne Overman', 'Charles Coburn', 'Gene Lockhart', 'Henry Travers']""",['Clarence Brown'],['Talbot Jennings'],MGM,['Herbert Stothart'],['Harold Rosson'],['John W. Considine']
16,,w11483,o23097,"""""""edward, my son""""""",1-Mar,2421000.0,2142000.0,-0.11524163568773235,2049-06-01 00:00:00,6.0,2.0,152.0,22.0,0.0,,,[Raymond Poulton],[MGM-British],,,,,,,
17,b4062,w11586,o11722,"""""""elvira, mistress of the dark""""""",1988,7500000.0,5596267.0,-0.25383106666666666,1988-09-30 00:00:00,9.0,3.0,274.0,39.0,0.0,96.0,3.0,[Battle Davis],[NBC Productions],Phil Rubenstein|Larry Flash Jenkins|Cassandra Peterson|Damita Jo Freeman,['James Signorelli'],,New World,[James B. Campbell],[Hanania Bier],"""[Eric Gardner, Mark Pierson]"""
18,b4379,w12472,,"""""""farewell, my lovely (1975 film)""""""",1975,2500000.0,2000000.0,-0.2,1975-08-08 00:00:00,8.0,3.0,220.0,31.0,0.0,95.0,4.0,"""[Joel Cox, Walter Thompson]""",[ITC Entertainment],['Sylvester Stallone*'],,,Embassy,[David Shire],[John A. Alonzo],['Jerry Bruckheimer']
19,,w12534,o6906,"""""""faster, pussycat! kill! kill!""""""",1965,45000.0,361221995.0,8026.155444444445,2065-08-06 00:00:00,8.0,3.0,218.0,31.0,0.0,,,[Russ Meyer],[EVE Productions],,,,,,,
20,b4640,w13491,o16551,"""""""food, inc.""""""",2008,1000000.0,4600000.0,3.6,2009-06-12 00:00:00,6.0,2.0,163.0,23.0,0.0,94.0,2.0,[Kim Roberts],,,,,Magnolia,,,['Jeff Skoll']
21,b4672,w13534,o3376,"""""""for a good time, call...""""""",2012,1300000.0,1251749.0,-0.03711615384615385,2012-08-31 00:00:00,8.0,3.0,244.0,35.0,1.0,,4.0,[Evan Henke],[AdScott Pictures],"""['Ari Graynor', 'Justin Long']""",,,Focus Features,[John Swihart],[James Laxton],"""[Josh Kesselman, Lauren Miller, Jennifer Weinbaum]"""
22,,w13671,o15157,"""""""forever, darling""""""",1956,951000.0,2288000.0,1.405888538380652,2056-02-09 00:00:00,2.0,1.0,40.0,6.0,0.0,,,"""[Dann Cahn, Bud Molin]""",,,,,,,,
23,,w14321,o17609,"""""""gaily, gaily""""""",1969,9000000.0,1000000.0,-0.8888888888888888,1970-03-23 00:00:00,3.0,1.0,82.0,12.0,0.0,,,"""[Byron W. Brandt, Ralph E. Winters]""",[The Mirisch Corporation],,,,,,,
24,b5076,w14969,,"""""""girl, interrupted """"""",1999,40000000.0,48300000.0,0.2075,1999-12-21 00:00:00,12.0,4.0,355.0,51.0,1.0,127.0,4.0,[Kevin Tent],,"""['Winona Ryder', 'Angelina Jolie', 'Brittany Murphy', 'Elisabeth Moss']""",['James Mangold'],['James Mangold'],Sony / Columbia,['Mychael Danna'],[Jack N. Green],"""['Cathy Konrad', 'Douglas Wick']"""
25,,w15187,o15163,"""""""godzilla, king of the monsters!""""""",1956,650000.0,2000000.0,2.0769230769230766,2056-04-27 00:00:00,4.0,2.0,118.0,17.0,0.0,,,[Terry Morse],"""[Toho, Jewell Enterprises]""",,,,,,,
26,b5208,w15390,o1362,"""""""good morning, vietnam""""""",1987,13000000.0,123900000.0,8.53076923076923,1987-12-25 00:00:00,12.0,4.0,359.0,51.0,1.0,120.0,4.0,[Stu Linder],[Touchstone Pictures],"""['Forest Whitaker', 'Robin Williams']""",['Barry Levinson'],,Buena Vista,[Alex North],['Peter Sova'],['Mark Johnson']
27,b5211,w15396,o18273,"""""""good night, and good luck""""""",2005,7000000.0,56500000.0,7.071428571428571,2005-10-07 00:00:00,10.0,4.0,280.0,40.0,1.0,93.0,2.0,[Stephen Mirrione],"""[2929 Entertainment, Participant Productions, Section Eight Productions, Davis Films]""","""['David Strathairn', 'Patricia Clarkson', 'George Clooney', 'Jeff Daniels', 'Frank Langella']""",['George Clooney'],"""['George Clooney', 'Grant Heslov']""",Warner Independent,,['Robert Elswit'],"""['Jennifer Fox', 'Samuel Hadida', 'Grant Heslov', 'Jeff Skoll', 'Steven Soderbergh']"""
28,,w15444,,"""""""goodbye, columbus """"""",,1500000.0,22939805.0,14.293203333333333,,,,,,,,,[Ralph Rosenblum],[Willow Tree],,,,,,,
29,,w15448,o1786,"""""""goodbye, my fancy""""""",1951,1312000.0,1300000.0,-0.009146341463414634,2051-05-19 00:00:00,5.0,2.0,139.0,20.0,0.0,,,[Rudi Fehr],,,,,,,,
