index,key_bom,key_wiki,key_omdb,title,year,budget,gross,revenue,release_date,release_month,release_quarter,release_day_of_the_year,release_week_of_the_year,holiday_season,runtime,mpaa_rating,wiki_editing,wiki_studio,actor,director,writer,distributor,composer,cinematographer,producer,actor_clean,director_clean,writer_clean,distributor_clean,composer_clean,cinematographer_clean,producer_clean,actor_score,director_score,writer_score,distributor_score,composer_score,cinematographer_score,producer_score
0,b27,w123,,"""""""10,000 bc """"""",2008,105000000.0,269800000.0,1.5695238095238095,2008-03-07 00:00:00,3.0,1.0,67.0,9.0,0.0,109.0,3.0,[Alexander Berner],"""[Legendary Pictures, Centropolis Entertainment]""","""['Steven Strait', 'Camilla Belle']""",['Roland Emmerich'],"""['Roland Emmerich', 'Harald Kloser']""",Warner Bros.,"""['Harald Kloser', 'Thomas Wander']""",[Ueli Steiger],"""['Mark Gordon', 'Harald Kloser', 'Scott Mednick', 'Thomas Tull']""","['Steven Strait', 'Camilla Belle']",['Roland Emmerich'],"['Roland Emmerich', 'Harald Kloser']",['Warner Bros.'],"['Harald Kloser', 'Thomas Wander']",['Ueli Steiger'],"['Mark Gordon', 'Harald Kloser', 'Scott Mednick', 'Thomas Tull']",5.066876607936508,22.559048315452667,3.139047619047619,15505963.552973289,17.696006149350648,18.457980122510826,84.55375451012623
1,,w364,o22747,"""""""6,000 enemies""""""",1939,204000.0,358000.0,0.7549019607843137,2039-06-09 00:00:00,6.0,2.0,160.0,23.0,0.0,,,[Conrad A. Nervig],,,,,,,,,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,,w14968,o6022,"""""""a girl, a guy and a gob""""""",1941,412000.0,848000.0,1.058252427184466,2041-03-14 00:00:00,3.0,1.0,73.0,10.0,0.0,,,[George Crone],,,,,,,,,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,,w960,,"""""""alexander and the terrible, horrible, no good, very bad day """"""",,28000000.0,101400000.0,2.6214285714285714,,,,,,,,,[Pamela Martin],"""[Walt Disney Pictures, 21 Laps Entertainment, The Jim Henson Company]""",,,,,,,,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,,w1226,o10453,"""""""aloha, bobby and rose""""""",1975,60000.0,35000000.0,582.3333333333334,1975-04-29 00:00:00,4.0,2.0,119.0,17.0,0.0,,,[Danford B. Greene],[Cine Artists International],,,,,,,,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,b1662,w3520,o15817,"""""""bert rigby, you're a fool""""""",24-Feb,7000000.0,75868.0,-0.9891617142857144,1989-02-24 00:00:00,2.0,1.0,55.0,8.0,1.0,94.0,4.0,[Bud Molin],[Lorimar],['Anne Bancroft'],,,Warner Bros.,[Ralph Burns],[Jan de Bont],[George Shapiro],['Anne Bancroft'],[''],[''],['Warner Bros.'],['Ralph Burns'],['Jan de Bont'],['George Shapiro'],4090517.8702076296,0.0,0.0,15505963.552973289,7.836038019688644,21.7730419836037,-0.9891617142857144
6,b1778,w3865,o2465,"""""""big mommas: like father, like son""""""",2011,32000000.0,83900000.0,1.621875,2011-02-18 00:00:00,2.0,1.0,49.0,7.0,1.0,107.0,3.0,[Priscilla Nedd-Friendly],"""[Regency Enterprises, New Regency, Friendly Films, Runteldat Entertainment, The Collective, Dune Entertainment]""","""['Martin Lawrence', 'Brandon T. Jackson', 'Portia Doubleday', 'Jessica Lucas', 'Ana Ortiz', 'Ken Jeong*']""",['John Whitesell'],"""['Matthew Fogel', 'Don Rhymer']""",Fox,[David Newman],[Anthony B. Richmond],['Arnon Milchan'],"['Martin Lawrence', 'Brandon T. Jackson', 'Portia Doubleday', 'Jessica Lucas', 'Ana Ortiz', 'Ken Jeong']",['John Whitesell'],"['Matthew Fogel', 'Don Rhymer']",['Fox'],['David Newman'],['Anthony B. Richmond'],['Arnon Milchan'],92.48375836103821,5.305188992156863,12.095544992156864,13539473.716561431,1883035.4220828305,24.672964350603774,123.16618575675179
7,b3073,w8228,,"""""""corrina, corrina """"""",1994,22000000.0,20164171.0,-0.08344677272727273,1994-08-12 00:00:00,8.0,3.0,224.0,32.0,0.0,115.0,2.0,[Lee Percy],[Turner Pictures],"""['Whoopi Goldberg', 'Ray Liotta']""",['Jessie Nelson'],,New Line,['Thomas Newman'],[Bruce Surtees],"""['Bernie Goldmann', 'Steve Tisch']""","['Whoopi Goldberg', 'Ray Liotta']",['Jessie Nelson'],[''],['New Line'],['Thomas Newman'],['Bruce Surtees'],"['Bernie Goldmann', 'Steve Tisch']",18.223656546815107,4.129498939393939,0.0,238.70922000901982,1233099.1245321701,66.59240217867965,3758034.808737826
8,b3123,w8498,o2497,"""""""crazy, stupid, love""""""",2011,50000000.0,142900000.0,1.858,2011-07-29 00:00:00,7.0,3.0,210.0,30.0,0.0,118.0,3.0,[Lee Haxall],"""[Carousel Productions, Di Novi Pictures]""","""['Analeigh Tipton', 'Steve Carell', 'Ryan Gosling', 'Julianne Moore', 'Emma Stone', 'Marisa Tomei', 'Kevin Bacon', 'John Carroll Lynch', 'Josh Groban', 'Joey King', 'Crystal Reed*']""","""['Glenn Ficarra', 'John Requa']""",['Dan Fogelman'],Warner Bros.,"""['Christophe Beck', 'Nick Urata']""",[Andrew Dunn],"""['Steve Carell', 'Denise Di Novi']""","['Analeigh Tipton', 'Steve Carell', 'Ryan Gosling', 'Julianne Moore', 'Emma Stone', 'Marisa Tomei', 'Kevin Bacon', 'John Carroll Lynch', 'Josh Groban', 'Joey King', 'Crystal Reed']","['Glenn Ficarra', 'John Requa']",['Dan Fogelman'],['Warner Bros.'],"['Christophe Beck', 'Nick Urata']",['Andrew Dunn'],"['Steve Carell', 'Denise Di Novi']",7714261.578713289,3.138857142857143,3858007.8438205128,15505963.552973289,10357603.26462,10.192399038642243,22.72471414407543
9,b3171,w8677,o10607,"""""""crouching tiger, hidden dragon""""""",2000,17000000.0,213500000.0,11.558823529411766,2000-12-08 00:00:00,12.0,4.0,343.0,49.0,0.0,120.0,3.0,[Tim Squyres],,['Zhang Ziyi'],['Ang Lee'],"""['James Schamus', 'Kuo Jung Tsai']""",Sony Classics,['Tan Dun'],[Peter Pau],"""[Bill Kong, Hsu Li-kong, Ang Lee]""",['Zhang Ziyi'],['Ang Lee'],"['James Schamus', 'Kuo Jung Tsai']",['Sony Classics'],['Tan Dun'],['Peter Pau'],"['Bill Kong', 'Hsu Li-kong', 'Ang Lee']",15.325947712418301,58.43426263958304,46.98704672256623,8888300.141953092,11.558823529411766,12.041193580371917,41.55759825490196
10,b3186,w8751,,"""""""cry, the beloved country (1995 film)""""""",1995,4000000.0,676525.0,-0.83086875,1995-12-15 00:00:00,12.0,4.0,349.0,50.0,0.0,106.0,3.0,[David Heitner],,"""['James Earl Jones', 'Richard Harris']""",,,Miramax,[John Barry],[Paul Gilpin],"""[Anant Singh, Harry Alan Towers]""","['James Earl Jones', 'Richard Harris']",[''],[''],['Miramax'],['John Barry'],['Paul Gilpin'],"['Anant Singh', 'Harry Alan Towers']",5.509897831623931,0.0,0.0,395.84360476501183,53.87489098537333,-0.83086875,-1.6617375
11,,w9032,o1527,"""""""dance, fools, dance""""""",1931,234000.0,1268000.0,4.418803418803419,2031-02-07 00:00:00,2.0,1.0,38.0,5.0,0.0,,,[George Hively],,,,,,,,,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
