bom_budget,bom_domestic_gross,bom_title,bom_worldwide_revenue,key_bom,key_omdb,key_wiki,omdb_title,wiki_budget,wiki_gross,wiki_title,year_bom_format,year_omdb_format,year_wiki_format,budget,gross
27000.0,3151130.0,clerks,0.0,b2846,o2277,w7528,clerks,27575.0,3200000.0,clerks,1994.0,1994.0,19-Oct,27000.0,3151130.0
1100.0,181041.0,my date with drew,262770.0,b8645,o22082,w26313,my date with drew,1100.0,262770.0,my date with drew,2005.0,2004.0,2004,1100.0,262770.0
15000.0,107918810.0,paranormal activity,193355800.0,b9462,o3883,w28803,paranormal activity,15000.0,193400000.0,paranormal activity,2009.0,2007.0,2007,15000.0,193355800.0
7000.0,424760.0,primer,424760.0,b9875,,w30200,,7000.0,424760.0,primer ,2004.0,,2004,7000.0,424760.0
65000.0,11536423.0,super size me,20641054.0,b11883,o22138,w36843,super size me,65000.0,22200000.0,super size me,2004.0,2004.0,2004,65000.0,20641054.0
220.0,592014.0,tarnation,592014.0,b12081,,w37385,,218.32,1200000.0,tarnation ,2004.0,,2004,220.0,592014.0
60000.0,140539099.0,the blair witch project,248639099.0,b12512,o2162,w4313,the blair witch project,60000.0,248600000.0,the blair witch project,1999.0,1999.0,1999,60000.0,248639099.0
0.0,0.0,,0.0,,,w36837,,58000.0,6200000.0,super fly ,,,,58000.0,6200000.0
0.0,0.0,,0.0,,,w36014,,5.0,54028.0,stark raving mad (2002 film),,,,5.0,54028.0
0.0,0.0,,0.0,,,w17655,,54039.43,1000000.0,hollywood boulevard (1976 film),,,,54039.43,1000000.0
0.0,0.0,,0.0,,,w41333,,17000.0,500000.0,westward ho (1935 film),,,,17000.0,500000.0
0.0,0.0,,0.0,,,w39501,,9.6,5.6,truth (2015 film),,,,9.6,5.6
0.0,0.0,,0.0,,,w28892,,33000.0,109000.0,partners (1932 film),,,,33000.0,109000.0
0.0,0.0,,0.0,,,w35581,,245.0,880700000.0,spectre (2015 film),,,,245.0,880700000.0
0.0,0.0,,0.0,,,w2640,,84000.0,141000.0,bad lands (1939 film),,,,84000.0,141000.0
0.0,0.0,,0.0,,,w9940,,99000.0,145000.0,desert passage ,,,,99000.0,145000.0
0.0,0.0,,0.0,,,w32121,,38.0,19300000.0,rock star (2001 film),,,,38.0,19300000.0
0.0,0.0,,0.0,,,w25920,,110.0,478200000.0,mr. & mrs. smith (2005 film),,,,110.0,478200000.0
0.0,0.0,,0.0,,,w15569,,94412.0,1100000.0,grandma's boy (1922 film),,,,94412.0,1100000.0
0.0,0.0,,0.0,,,w34682,,23000.0,1228108.0,slacker ,,,,23000.0,1228108.0
0.0,0.0,,0.0,,,w24064,,10000.0,30029.0,manakamana ,,,,10000.0,30029.0
0.0,0.0,,0.0,,,w11907,,55.0,203.4,everest (2015 film),,,,55.0,203.4
0.0,0.0,,0.0,,,w6274,,10.0,10173.0,captain america (1990 film),,,,10.0,10173.0
