title	link	key_bom	year_bom	year_bom_format
#horror	http://www.boxofficemojo.com/movies/?id=horrorifc.htm	b0	20-Nov-15	2015
$9.99 	http://www.boxofficemojo.com/movies/?id=9dot99.htm	b1	12-Dec-08	2008
$upercapitalist	http://www.boxofficemojo.com/movies/?id=supercapitalist.htm	b2	10-Aug-12	2012
'71	http://www.boxofficemojo.com/movies/?id=71.htm	b3	27-Feb-15	2015
'n sync: bigger than live (imax)	http://www.boxofficemojo.com/movies/?id=nsyncimax.htm	b4	2-Feb-01	2001
'neath the arizona skies	http://www.boxofficemojo.com/movies/?id=neaththearizonaskies.htm	b5	5-Dec-34	1934
"'night, mother"	http://www.boxofficemojo.com/movies/?id=nightmother.htm	b6	12-Sep-86	1986
'r xmas	http://www.boxofficemojo.com/movies/?id=rxmas.htm	b7	8-Nov-02	2002
'round midnight	http://www.boxofficemojo.com/movies/?id=roundmidnight.htm	b8	3-Oct-86	1986
'tis autumn: the search for jackie paris	http://www.boxofficemojo.com/movies/?id=tisautumn.htm	b9	7-Dec-07	2007
(500) days of summer	http://www.boxofficemojo.com/movies/?id=500daysofsummer.htm	b10	17-Jul-09	2009
(untitled)	http://www.boxofficemojo.com/movies/?id=untitled.htm	b11	23-Oct-09	2009
* batteries not included	http://www.boxofficemojo.com/movies/?id=batteriesnotincluded.htm	b12	18-Dec-87	1987
...and justice for all	http://www.boxofficemojo.com/movies/?id=andjusticeforall.htm	b13	19-Oct-79	1979
1 mile above	http://www.boxofficemojo.com/movies/?id=1mileabove.htm	b14	7-Jun-13	2013
1+1=11	http://www.boxofficemojo.com/movies/?id=1plus1.htm	b15	28-Mar-03	2003
"1,000 rupee note"	http://www.boxofficemojo.com/movies/?id=1000rupeenote.htm	b16	23-Sep-16	2016
"1,000 times good night"	http://www.boxofficemojo.com/movies/?id=1000times.htm	b17	24-Oct-14	2014
10	http://www.boxofficemojo.com/movies/?id=10.htm	b18	5-Oct-79	1979
10 cloverfield lane	http://www.boxofficemojo.com/movies/?id=badrobot2016.htm	b19	11-Mar-16	2016
10 days in a madhouse	http://www.boxofficemojo.com/movies/?id=10daysinamadhouse.htm	b20	11-Nov-15	2015
