,Link,Summary,Players,Total Lifetime Gross,Domestic Summary,Awards,Genre,Franchise,Chart
#Horror,http://www.boxofficemojo.com/movies/?id=horrorifc.htm,"{'Genre': 'Horror', 'Distributor': 'IFC', 'Runtime': '1 hrs. 30 min.', 'Release Date': 'November 20, 2015', 'MPAA Rating': 'Unknown', 'Production Budget': 'N/A'}","{'Actor': ['Balthazar Getty', 'Timothy Hutton', 'Natasha Lyonne', 'Taryn Manning', 'Chloe Sevigny']}",{'Total Lifetime Gross': 'No Total Lifetime Gross Information'},{'Domestic Summary': 'No Domestic Summary Information'},No Academy Awards Information,{'Genre': 'No Genre Information'},{'Franchise': 'No Franchise Information'},{'Chart': 'No Chart Information'}
$9.99,http://www.boxofficemojo.com/movies/?id=9dot99.htm,"{'Genre': 'Animation', 'Distributor': 'Regent Releasing', 'Runtime': '1 hrs. 18 min.', 'Release Date': 'December 12, 2008', 'Domestic Total Gross': '$52,384', 'MPAA Rating': 'R', 'Production Budget': 'N/A'}",{'Players': 'No Player Information'},"{'Domestic': '$52,384', 'Worldwide': '$708,354', 'Foreign': '$655,970'}","{'Widest Release': ' 4 theaters', 'Opening Weekend': ' $478', 'In Release': ' 280 days / 40 weeks', 'Close Date': ' January 21, 2010'}",No Academy Awards Information,"{'Animation': '379', 'Animation - Stop Motion': '22'}",{'Franchise': 'No Franchise Information'},"{'Yearly 2008': '424', 'Yearly (Limited) 2008': '251', 'Yearly R Rated 2008': '141', 'Worldwide Yearly 2008': '332', 'Yearly Opening Weekends (Limited) 2008': '436', 'All Time Domestic': '11,317', 'Yearly Opening Weekends 2008': '588'}"
$upercapitalist,http://www.boxofficemojo.com/movies/?id=supercapitalist.htm,"{'Genre': 'Thriller', 'Distributor': 'Truly Indie', 'Runtime': '1 hrs. 36 min.', 'Release Date': 'August 10, 2012', 'Domestic Total Gross': '$15,919', 'MPAA Rating': 'Unrated', 'Production Budget': 'N/A'}",{'Players': 'No Player Information'},"{'Domestic': '$15,919'}","{'Widest Release': ' 1 theaters', 'Opening Weekend': ' $8,372', 'Close Date': ' August 30, 2012'}",No Academy Awards Information,{'Genre': 'No Genre Information'},{'Franchise': 'No Franchise Information'},"{'All Time Domestic': '12,907'}"
'71,http://www.boxofficemojo.com/movies/?id=71.htm,"{'Genre': 'War Drama', 'Distributor': 'Roadside Attractions', 'Runtime': '1 hrs. 39 min.', 'Release Date': 'February 27, 2015', 'Domestic Total Gross': '$1,270,847', 'MPAA Rating': 'R', 'Production Budget': 'N/A'}","{'Actor': [""Jack O'Connell""]}","{'Domestic': '$1,270,847', 'Worldwide': '$1,625,847', 'Foreign': '$355,000'}","{'Widest Release': ' 121 theaters', 'Opening Weekend': ' $55,761', 'In Release': ' 70 days / 10 weeks', 'Close Date': ' May 7, 2015'}",No Academy Awards Information,"{""That '70s Movie"": '53'}",{'Franchise': 'No Franchise Information'},"{'All Time Domestic': '7,056'}"
'N Sync: Bigger Than Live (IMAX),http://www.boxofficemojo.com/movies/?id=nsyncimax.htm,"{'Genre': 'IMAX', 'Distributor': 'IMAX', 'Runtime': '0 hrs. 47 min.', 'Release Date': 'February 2, 2001', 'Domestic Total Gross': '$1,808,679', 'MPAA Rating': 'Unrated', 'Production Budget': 'N/A'}",{'Players': 'No Player Information'},"{'Domestic': '$1,808,679'}","{'Widest Release': ' 20 theaters', 'In Release': ' 276 days / 39.4 weeks'}",No Academy Awards Information,{'Music Concert': '15'},{'Franchise': 'No Franchise Information'},"{'IMAX Format': '54', 'Yearly 2001': '180', 'IMAX Format Adjusted': '52', 'Highest All Time Rank': '3103', 'All Time Domestic': '6,640', 'Yearly (Limited) 2001': '42'}"
'Neath the Arizona Skies,http://www.boxofficemojo.com/movies/?id=neaththearizonaskies.htm,"{'Genre': 'Western', 'Distributor': 'Monogram Pictures Corporation', 'Runtime': '0 hrs. 52 min.', 'Release Date': 'December 5, 1934', 'MPAA Rating': 'Unrated', 'Production Budget': 'N/A'}","{'Writer': ['Burl R. Tuttle'], 'Producer': ['Paul Malvern'], 'Cinematographer': ['Archie Stout'], 'Actor': ['John Wayne', 'Sheila Terry', 'Shirley Jean Rickert', 'Jack Rockwell', 'Yakima Canutt', 'Harry L. Fraser'], 'Director': ['Harry L. Fraser']}",{'Total Lifetime Gross': 'No Total Lifetime Gross Information'},{'Domestic Summary': 'No Domestic Summary Information'},No Academy Awards Information,{'Genre': 'No Genre Information'},{'Franchise': 'No Franchise Information'},{'Chart': 'No Chart Information'}
"'Night, Mother",http://www.boxofficemojo.com/movies/?id=nightmother.htm,"{'Genre': 'Unknown', 'Distributor': 'Universal', 'Runtime': '1 hrs. 36 min.', 'Release Date': 'September 12, 1986', 'Domestic Total Gross': '$441,863', 'MPAA Rating': 'PG-13', 'Production Budget': 'N/A'}","{'Actor': ['Sissy Spacek', 'Anne Bancroft']}","{'Domestic': '$441,863'}","{'Widest Release': ' 35 theaters', 'Opening Weekend': ' $49,164'}",No Academy Awards Information,{'Mother': '44'},{'Franchise': 'No Franchise Information'},"{'Yearly 1986': '185', 'Yearly PG-13 Rated 1986': '42', 'Yearly Opening Weekends (Limited) 1986': '53', 'Yearly Opening Weekends 1986': '162', 'Yearly (Limited) 1986': '46', 'All Time Domestic': '8,417'}"
'R Xmas,http://www.boxofficemojo.com/movies/?id=rxmas.htm,"{'Genre': 'Unknown', 'Distributor': 'Pathfinder', 'Runtime': '1 hrs. 23 min.', 'Release Date': 'November 8, 2002', 'Domestic Total Gross': '$850', 'MPAA Rating': 'R', 'Production Budget': 'N/A'}",{'Players': 'No Player Information'},"{'Domestic': '$850', 'Worldwide': '$850', 'Foreign': 'n/a'}","{'Widest Release': ' 1 theaters', 'Opening Weekend': ' $850', 'In Release': ' 3 days / 0.4 weeks', 'Close Date': ' November 10, 2002'}",No Academy Awards Information,{'Genre': 'No Genre Information'},{'Franchise': 'No Franchise Information'},"{'Yearly 2002': '480', 'Yearly Opening Weekends (Limited) 2002': '296', 'Yearly R Rated 2002': '177', 'All Time Domestic': '14,739', 'Worldwide Yearly 2002': '306', 'Highest All Time Rank': '5801', 'Yearly Opening Weekends 2002': '436', 'Yearly (Limited) 2002': '316'}"
'Round Midnight,http://www.boxofficemojo.com/movies/?id=roundmidnight.htm,"{'Genre': 'Unknown', 'Distributor': 'Warner Bros.', 'Runtime': '2 hrs. 13 min.', 'Release Date': 'October 3, 1986', 'Domestic Total Gross': '$3,272,593', 'MPAA Rating': 'R', 'Production Budget': 'N/A'}",{'Producer': ['Irwin Winkler']},"{'Domestic': '$3,272,593'}","{'Widest Release': ' 50 theaters', 'Opening Weekend': ' $25,384', 'Close Date': ' April 16, 1987'}","Nominated for Two Oscars, Including One Win.",{'Genre': 'No Genre Information'},{'Franchise': 'No Franchise Information'},"{'Yearly 1986': '125', 'Highest All Time Rank': '938', 'Yearly Opening Weekends (Limited) 1986': '60', 'Yearly Opening Weekends 1986': '169', 'Yearly R Rated 1986': '56', 'Yearly (Limited) 1986': '14', 'All Time Domestic': '5,933'}"
'Tis Autumn: The Search for Jackie Paris,http://www.boxofficemojo.com/movies/?id=tisautumn.htm,"{'Genre': 'Documentary', 'Distributor': 'Outsider Films', 'Runtime': '1 hrs. 40 min.', 'Release Date': 'December 7, 2007', 'Domestic Total Gross': '$1,476', 'MPAA Rating': 'Unrated', 'Production Budget': 'N/A'}",{'Players': 'No Player Information'},"{'Domestic': '$1,476', 'Worldwide': '$3,347', 'Foreign': '$1,871'}","{'Widest Release': ' 1 theaters', 'Opening Weekend': ' $1,476', 'In Release': ' 7 days / 1 weeks', 'Close Date': ' December 9, 2007'}",No Academy Awards Information,{'Documentary': '1454'},{'Franchise': 'No Franchise Information'},"{'All Time Domestic': '14,647', 'Yearly Unrated Movies 2007': '201', 'Yearly Opening Weekends (Limited) 2007': '417', 'Yearly (Limited) 2007': '429', 'Yearly Opening Weekends 2007': '584', 'Worldwide Yearly 2007': '463', 'Yearly 2007': '615'}"
