key_bom	key_wiki	key_omdb
b27	w123	
b38	w299	o10558
b48	w147	
b50	w302	o7878
b55	w160	
b62	w338	
b63	w339	o7430
b66	w177	o19945
b100	w306	o2008
b110	w353	
b126	w201	o9866
b131	w213	o16175
b132	w215	o16433
b143	w24	o9867
b154	w39	
b160	w230	o2413
b179	w251	
b194	w262	o21932
b220	w95	
b228	w99	
b233	w280	
b236	w284	o9874
b243	w3195	
b246	w3588	o2420
b262	w5704	o13472
b273	w7218	
b277	w7329	o21934
b278	w7449	
b285	w8796	o5308
b297	w10592	
b306	w12766	o7432
b330	w15353	o963
b339	w16065	o9614
b344	w16515	o964
b347	w17495	o18155
b361	w21073	o19954
b368	w21761	o7434
b384	w22967	o18157
b387	w23822	o9616
b403	w25059	
b406	w25069	
b408	w25157	o9882
b415	w25760	o9883
b423	w27221	
b433	w29204	o18543
b479	w34385	
b483	w34462	o18545
b494	w35414	
b496	w35957	
b516	w38209	
b529	w40475	o5061
b530	w40479	o2426
b534	w40803	
b539	w40825	o16181
b554	w391	o19956
b567	w403	
b579	w446	
b599	w483	o20196
b602	w518	o2248
b626	w607	
b657	w776	o975
b669	w802	o21944
b687	w848	o9620
b709	w885	
b721	w910	o20198
b733	w947	
b734	w956	
b757	w1023	
b763	w1053	o6365
b765	w1051	
b770	w1055	o18556
b783	w1073	o16184
b800	w1127	
b813	w1145	
b828	w1193	
b829	w1210	
b830	w1211	o10569
b840	w1222	
b842	w1235	o983
b843	w1231	
b845	w1241	o21947
b846	w1236	
b857	w1272	
b858	w1276	o2437
b860	w1277	o18561
b874	w1353	
b883	w1367	o19959
b888	w1378	
b896	w1402	o20203
b899	w1413	
b909	w1440	o988
b923	w1468	o2022
b924	w1469	o19964
b928	w1478	
b937	w1514	o8822
b939	w1522	o9624
b949	w1547	
b973	w1387	o16447
b975	w1430	o18170
b985	w11909	o10571
b995	w40052	o18171
b999	w1580	o21950
b1000	w1583	o16187
b1001	w1584	o2024
b1010	w1595	o992
b1011	w1596	o21951
b1028	w1648	
b1030	w1651	o1319
b1034	w1670	
b1035	w1673	
b1041	w1693	
b1061	w1721	o2026
b1062	w1738	
b1071	w1755	
b1073	w1757	o14512
b1090	w1800	o13697
b1092	w1807	
b1106	w1822	
b1107	w1823	o13485
b1111	w1827	o2027
b1114	w1842	o9627
b1116	w1851	
b1125	w1885	o20213
b1129	w1894	
b1143	w1930	o3652
b1145	w1932	
b1161	w1974	
b1171	w2027	o2028
b1176	w2034	
b1184	w2050	
b1186	w2061	
b1197	w2097	
b1201	w2099	o20216
b1208	w2126	o6370
b1224	w2163	
b1229	w2170	
b1230	w2178	
b1235	w2194	
b1241	w2216	
b1246	w2257	o19968
b1248	w2262	o2450
b1272	w2341	o16191
b1273	w2339	o6371
b1274	w2340	o2029
b1285	w2359	
b1289	w2375	o8827
b1294	w2393	
b1297	w2401	o18583
b1327	w2461	
b1331	w2476	o2030
b1332	w2481	
b1333	w2496	o2258
b1336	w2501	o16455
b1348	w2567	o21329
b1350	w2568	o15816
b1351	w2569	o14969
b1368	w2613	o9636
b1381	w2643	o18585
b1387	w2658	o18179
b1388	w2666	o9637
b1389	w2667	o5324
b1390	w2670	o2451
b1413	w2727	o16195
b1430	w2750	
b1447	w2787	
b1461	w2844	o21960
b1479	w2947	o7453
b1488	w2984	o18185
b1490	w2987	o20626
b1491	w2988	o7454
b1493	w2990	o5327
b1496	w3002	
b1497	w3011	o3046
b1509	w3021	o2454
b1511	w3055	
b1512	w3059	
b1516	w3077	o18186
b1529	w3140	
b1542	w3185	
b1557	w3204	
b1562	w3220	o5071
b1565	w3223	
b1573	w3236	
b1575	w3250	
b1576	w3255	o3663
b1577	w3256	
b1595	w3296	o20627
b1605	w3317	o7923
b1607	w3330	
b1619	w3369	o2032
b1637	w3432	
b1644	w3464	
b1671	w3536	
b1693	w3592	o16202
b1711	w3658	o2261
b1718	w3691	
b1735	w3721	o9918
b1750	w3745	
b1765	w3819	o16205
b1766	w3822	o9644
b1775	w3862	o3312
b1776	w3863	o10582
b1777	w3864	o20236
b1778	w3865	o2465
b1795	w3959	o9645
b1809	w4012	o20630
b1822	w4060	
b1849	w4176	
b1852	w4190	
