movie_year	title	released	key_omdb
1933	a bedtime story	22-Apr-33	o0
1933	a lady's profession	3-Mar-33	o1
1933	a preferred list	6-Oct-33	o2
1933	a shriek in the night	22-Jul-33	o3
1933	advice to the lovelorn	1-Dec-33	o4
1933	after tonight	10-Nov-33	o5
1933	aggie appleby maker of men	3-Nov-33	o6
1933	ann carver's profession	9-Jun-33	o7
1933	another language	28-Jul-33	o8
1933	antique antics	14-Jun-33	o9
1933	arizona to broadway	22-Jul-33	o10
1933	beauty for sale	1-Sep-33	o11
1933	bedtime worries	9-Sep-33	o12
1933	beer and pretzels	26-Aug-33	o13
1933	before morning	19-Oct-33	o14
1933	below the sea	29-Mar-33	o15
1933	betty boop's big boss	2-Jun-33	o16
1933	betty boop's birthday party	21-Apr-33	o17
1933	betty boop's crazy inventions	27-Jan-33	o18
1933	betty boop's hallowe'en party	3-Nov-33	o19
1933	betty boop's ker-choo	6-Jan-33	o20
1933	betty boop's may party	12-May-33	o21
1933	betty boop's penthouse	10-Mar-33	o22
1933	big executive	19-Oct-33	o23
1933	birds in the spring	11-Mar-33	o24
1933	blind adventure	18-Aug-33	o25
1933	blondie johnson	25-Feb-33	o26
1933	blow me down!	27-Oct-33	o27
1933	blue of the night	6-Jan-33	o28
1933	boilesk	9-Jun-33	o29
1933	bosko in person	11-Feb-33	o30
1933	bosko the musketeer	12-Aug-33	o31
1933	bosko's knight-mare	8-Jun-33	o32
1933	bosko's picture show	26-Aug-33	o33
1933	broadway bad	24-Feb-33	o34
1933	buddy's beer garden	11-Nov-33	o35
1933	buddy's day out	9-Sep-33	o36
1933	buddy's show boat	9-Dec-33	o37
1933	building a building	7-Jan-33	o38
1933	bureau of missing persons	16-Sep-33	o39
1933	busy bodies	7-Oct-33	o40
1933	by candlelight	18-Dec-33	o41
1933	captured!	19-Aug-33	o42
1933	chance at heaven	27-Oct-33	o43
1933	charlie chan's greatest case	15-Sep-33	o44
1933	christopher bean	17-Nov-33	o45
1933	christopher strong	31-Mar-33	o46
1933	clancy of the mounted	27-Feb-33	o47
1933	clear all wires!	24-Feb-33	o48
1933	close relations	30-Sep-33	o49
1933	college coach	4-Nov-33	o50
1933	convention city	14-Dec-33	o51
1933	counsellor at law	25-Dec-33	o52
1933	curtain at eight	1-Oct-33	o53
1933	dancing lady	24-Nov-33	o54
1933	diamond trail	23-Apr-33	o55
1933	diplomaniacs	12-May-33	o56
1933	disgraced	7-Jul-33	o57
1933	doctor bull	22-Sep-33	o58
1933	don't bet on love	1-Jul-33	o59
